"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm),Outer Inseam,Inner Inseam
80.18699951171875,91.45054321289062,46.50184631347656,96.33922119140625,85.1659912109375,54.92742919921875,45.860110473632815,106.83265380859375,64.73812255859374,94.7916259765625,7.1190185546875,8.771255493164062,99.71363525390625,76.39473571777344
77.00068359375,88.12357788085937,45.59934997558594,92.97308349609375,86.67518310546875,51.06377258300781,44.94716186523438,108.24197998046876,64.825634765625,90.1626220703125,7.1872314453125,8.816175842285157,101.05474853515625,77.8590072631836
84.22274169921874,95.88302001953124,47.69978637695313,99.9568115234375,85.8129150390625,57.64866333007812,46.54848937988281,107.695947265625,64.85331420898437,98.24627685546875,7.222861480712891,8.997666168212891,100.47308578491212,76.81524887084962
96.45115356445312,108.56514892578124,51.040045166015624,110.00369873046876,88.83176879882812,64.15675048828125,49.67291259765625,111.0814208984375,67.068505859375,108.9813720703125,7.392996215820313,9.412303924560547,103.68842468261718,79.41946487426758
85.66932983398438,97.52461547851563,48.23240661621094,101.71467895507813,86.51775512695312,59.01102905273437,46.957333374023435,108.34659423828126,65.21333618164063,99.70776977539063,7.257843017578125,9.061859893798829,101.08875122070313,77.4558952331543
93.00223388671876,103.96917724609375,49.16148071289062,101.47339477539063,78.90133056640624,57.64634399414062,46.709869384765625,101.34834594726563,62.62648315429688,103.8099609375,7.0448150634765625,8.521781921386719,94.30353088378907,70.37954864501953
96.835986328125,108.5968017578125,50.268557739257815,106.12662353515626,77.14268798828125,61.511932373046875,48.862100219726564,98.70601806640624,62.8333984375,107.83333740234374,6.799678039550781,8.390460968017578,91.90634002685547,68.75222702026367
97.879638671875,109.27950439453124,50.33651428222656,103.85003662109375,76.90839233398438,58.57869873046875,47.3870849609375,99.65010375976563,62.047845458984376,107.992822265625,6.961289978027343,8.380107879638672,92.68881378173828,68.52828445434571
80.43978881835938,91.82469482421875,46.62690124511719,95.6858642578125,80.57442626953124,55.404180908203124,44.91199951171875,102.0891357421875,62.850982666015625,94.91416625976562,6.9684608459472654,8.314813232421875,95.12067489624023,72.25961303710938
78.424365234375,89.50243530273437,45.99571228027344,94.42201538085938,85.87687377929687,52.664788818359376,45.31254272460937,107.4430419921875,64.70382080078124,92.0654541015625,7.161958312988281,8.809575653076172,100.28108367919921,77.0672981262207
82.582470703125,93.98883056640625,46.81448974609375,94.92396240234375,77.2938232421875,53.51861572265625,44.12213134765625,99.316943359375,61.1064208984375,94.01995849609375,6.872918701171875,8.166383361816406,92.44402465820312,69.1274398803711
74.29844970703125,86.7762939453125,45.37305908203125,89.46598510742187,78.40259399414063,48.799737548828126,42.11080322265625,99.35031127929688,60.337738037109375,86.0339111328125,6.891087341308594,7.900811767578125,92.45922393798828,70.5017822265625
73.29215698242187,86.02094116210938,45.14896240234375,90.4685302734375,79.8814697265625,51.07142944335938,43.376171875,100.76568603515625,61.82557373046875,87.98079223632813,6.817178344726562,7.918727111816406,93.9485076904297,71.96274261474609
118.44566650390625,130.44732666015625,54.534539794921876,118.21702880859375,79.99719848632813,70.15840454101563,54.91798095703125,104.3533935546875,67.16705322265625,129.04276123046876,6.934007263183593,8.895366668701172,97.41938629150391,71.10183181762696
74.6370849609375,87.56878051757812,45.532510375976564,90.67284545898437,77.61868896484376,51.098025512695315,42.74678955078125,98.59031982421875,60.47547607421875,88.19581298828125,6.802379608154297,7.809715270996094,91.78794021606446,69.80897369384766
89.07581176757813,101.48445434570313,49.188165283203126,103.70426025390626,76.86109619140625,60.282098388671876,47.573150634765625,95.9759765625,61.849761962890625,99.82213134765625,6.718621063232422,8.104033660888671,89.25735549926758,68.75706253051757
83.34860229492188,95.15730590820313,47.40555114746094,98.88739624023438,84.77372436523437,56.990655517578126,46.30819396972656,106.67149658203125,64.30946655273438,97.60965576171876,7.174490356445313,8.922682189941407,99.49700622558593,75.85104217529297
84.88692016601563,93.48873901367188,47.68590393066406,101.18025512695313,94.14080200195312,55.99014892578125,46.91915588378906,116.13597412109375,69.20939331054687,96.02353515625,7.5597694396972654,9.519694519042968,108.57620468139649,84.62110748291016
83.55492553710937,93.863818359375,47.150491333007814,97.66723022460937,82.84339599609375,55.87203369140625,45.5501220703125,104.8069580078125,63.8654296875,96.79349975585937,7.1391448974609375,8.74041290283203,97.66781311035156,74.10298309326171
70.91325073242187,84.70380249023438,44.7962890625,88.09722900390625,77.22562866210937,49.20542602539062,42.0745361328125,97.80078125,59.98470458984375,84.9157470703125,6.716526031494141,7.581716156005859,91.08425521850586,69.64391250610352
81.97396240234374,94.20294799804688,47.024899291992185,96.8932373046875,78.42479858398437,56.988824462890626,45.50920715332031,99.60907592773438,62.03944702148438,96.4473388671875,6.859593200683594,8.196416473388672,92.74948272705078,70.2283821105957
77.60240478515625,88.93944091796875,45.91405029296875,93.77189331054687,81.96687622070313,53.37998657226562,44.62409973144531,103.34686279296875,63.34366455078125,92.129052734375,6.958882904052734,8.318867492675782,96.38797988891602,73.64800872802735
80.510595703125,91.48814086914062,46.53153076171875,95.70618896484375,81.06332397460938,55.25529174804687,44.980096435546876,102.76324462890625,63.198541259765626,94.91112670898437,6.978482055664062,8.380561065673827,95.78476257324219,72.68276290893554
86.03233032226562,96.4469970703125,47.36405944824219,96.81007080078125,76.18148803710938,54.61082763671875,44.814517211914065,98.57761840820312,61.2826904296875,97.16767578125,6.8263801574707035,8.209035491943359,91.75123825073243,67.97245254516602
80.82623901367188,92.1560791015625,46.69254760742187,97.05037841796874,85.959375,54.910162353515624,46.0202880859375,107.738134765625,64.80744018554688,94.946435546875,7.16903076171875,8.953211975097656,100.56910400390625,77.00616302490235
77.24676513671875,88.30830688476563,45.73429870605469,93.28028564453125,85.95355834960938,51.344671630859374,44.90013122558594,107.33525390625,64.53588256835937,90.409326171875,7.163645935058594,8.756237030029297,100.1716079711914,77.19732131958008
87.81071166992187,100.01673583984375,48.70982666015625,102.9115966796875,80.42728271484376,60.02473754882813,47.50340881347656,100.82236938476562,63.1060546875,100.16685791015625,6.918235015869141,8.547775268554688,93.90413436889648,71.87950744628907
100.11681518554687,110.0676025390625,50.58402099609375,105.17764892578126,86.34697265625,58.86400146484375,48.380923461914065,110.55283203125,66.13305053710937,109.8199462890625,7.556388092041016,9.416703796386718,102.99644393920899,76.93026885986328
79.33829956054687,91.62030029296875,46.175164794921876,94.01320190429688,76.89183349609375,56.084417724609374,44.684408569335936,98.38897094726562,61.760125732421876,94.803564453125,6.757779693603515,7.838836669921875,91.63119125366211,69.05299682617188
74.51002807617188,86.11907958984375,45.21920471191406,91.22108764648438,82.7031982421875,50.68722229003906,43.927496337890624,103.77445068359376,63.24251708984375,88.51596069335938,6.95641860961914,8.242089080810548,96.8180320739746,74.46110916137695
87.57156372070312,97.20184936523438,48.659976196289065,103.99251708984374,93.17447509765626,58.97972412109375,47.48277587890625,115.11392822265626,68.7296875,99.32542114257812,7.550575256347656,9.49337158203125,107.5633529663086,83.681103515625
93.27608642578124,104.52337646484375,49.70329895019531,105.29580078125,76.94376220703126,60.80012817382813,48.170205688476564,97.34646606445312,62.43088989257812,103.66533203125,6.759765625,8.33349380493164,90.58670043945312,68.6102684020996
102.94832763671874,115.42774658203125,51.80098266601563,110.6480224609375,83.46069946289063,64.42865600585938,51.04166259765625,106.633203125,65.78568115234376,115.2541015625,7.147762298583984,9.116960906982422,99.48544082641601,74.3437385559082
