Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
26.2,175.0,70.0,42.5,Inverted Triangle,1.0,0.0,0.0
31.9,171.0,71.5,40.5,Rectangle,0.0,1.0,0.0
43.0,191.0,98.0,46.0,Rectangle,0.0,1.0,0.0
56.7,178.0,82.0,42.5,Rectangle,0.0,1.0,0.0
40.6,170.0,63.0,41.0,Inverted Triangle,1.0,0.0,0.0
37.0,203.0,85.0,46.0,Triangle,0.0,0.0,1.0
18.5,183.0,69.0,41.0,Rectangle,0.0,1.0,0.0
21.0,193.0,78.0,43.0,Rectangle,0.0,1.0,0.0
28.0,168.0,61.0,40.0,Inverted Triangle,1.0,0.0,0.0
23.7,186.0,75.0,43.5,Inverted Triangle,1.0,0.0,0.0
55.0,182.0,73.0,42.0,Inverted Triangle,1.0,0.0,0.0
19.7,182.0,70.0,42.0,Triangle,0.0,0.0,1.0
59.0,178.0,80.0,45.0,Rectangle,0.0,1.0,0.0
18.2,172.0,56.0,42.0,Rectangle,0.0,1.0,0.0
61.0,184.0,82.0,43.0,Triangle,0.0,0.0,1.0
60.3,150.0,59.0,38.0,Rectangle,0.0,1.0,0.0
22.5,175.0,65.0,43.5,Inverted Triangle,1.0,0.0,0.0
26.3,187.0,68.0,43.0,Rectangle,0.0,1.0,0.0
22.0,188.0,87.0,44.0,Rectangle,0.0,1.0,0.0
27.2,190.0,69.0,43.5,Inverted Triangle,1.0,0.0,0.0
18.5,178.0,67.0,42.0,Rectangle,0.0,1.0,0.0
19.6,185.0,85.0,43.5,Inverted Triangle,1.0,0.0,0.0
55.0,178.0,92.0,43.0,Triangle,0.0,0.0,1.0
30.2,183.0,76.0,42.0,Rectangle,0.0,1.0,0.0
18.0,180.0,70.0,42.0,Rectangle,0.0,1.0,0.0
47.0,193.0,90.0,46.0,Triangle,0.0,0.0,1.0
36.0,174.0,67.0,42.0,Rectangle,0.0,1.0,0.0
29.0,180.0,72.0,42.0,Rectangle,0.0,1.0,0.0
53.0,177.0,65.0,41.0,Rectangle,0.0,1.0,0.0
25.1,169.0,77.0,41.0,Triangle,0.0,0.0,1.0
37.0,190.0,74.0,45.0,Triangle,0.0,0.0,1.0
40.5,180.0,80.0,41.0,Inverted Triangle,1.0,0.0,0.0
20.0,180.0,64.0,41.0,Inverted Triangle,1.0,0.0,0.0
27.0,178.0,74.0,43.0,Rectangle,0.0,1.0,0.0
31.0,188.0,72.0,44.0,Inverted Triangle,1.0,0.0,0.0
44.0,176.0,68.0,41.0,Rectangle,0.0,1.0,0.0
21.3,173.0,65.0,40.0,Rectangle,0.0,1.0,0.0
21.0,183.0,74.0,43.0,Rectangle,0.0,1.0,0.0
29.0,179.0,72.0,42.0,Rectangle,0.0,1.0,0.0
28.0,180.0,75.0,43.0,Inverted Triangle,1.0,0.0,0.0
31.0,180.0,84.0,43.0,Rectangle,0.0,1.0,0.0
25.0,187.0,82.0,45.0,Rectangle,0.0,1.0,0.0
55.4,173.0,78.0,41.0,Rectangle,0.0,1.0,0.0
26.2,169.0,58.0,39.0,Inverted Triangle,1.0,0.0,0.0
18.5,175.0,60.0,42.0,Rectangle,0.0,1.0,0.0
24.0,172.0,59.0,42.0,Inverted Triangle,1.0,0.0,0.0
43.4,170.0,58.0,42.0,Rectangle,0.0,1.0,0.0
50.0,178.5,87.0,44.0,Rectangle,0.0,1.0,0.0
53.0,175.0,60.0,39.0,Rectangle,0.0,1.0,0.0
18.5,173.0,71.0,43.0,Inverted Triangle,1.0,0.0,0.0
47.0,176.0,86.0,42.5,Rectangle,0.0,1.0,0.0
22.0,196.0,80.0,45.0,Rectangle,0.0,1.0,0.0
21.4,170.0,67.0,41.0,Inverted Triangle,1.0,0.0,0.0
20.1,175.0,65.0,42.5,Rectangle,0.0,1.0,0.0
39.0,181.0,81.0,42.0,Inverted Triangle,1.0,0.0,0.0
31.7,178.0,66.0,43.0,Inverted Triangle,1.0,0.0,0.0
23.0,177.0,58.0,41.0,Inverted Triangle,1.0,0.0,0.0
44.8,173.0,70.0,41.0,Rectangle,0.0,1.0,0.0
20.0,173.0,73.0,41.5,Rectangle,0.0,1.0,0.0
38.0,170.0,71.0,41.0,Inverted Triangle,1.0,0.0,0.0
58.3,175.0,75.0,43.0,Triangle,0.0,0.0,1.0
42.0,205.0,130.0,48.0,Triangle,0.0,0.0,1.0
55.0,185.0,70.0,44.0,Triangle,0.0,0.0,1.0
41.0,194.0,104.0,48.0,Rectangle,0.0,1.0,0.0
24.0,183.0,83.0,42.0,Triangle,0.0,0.0,1.0
40.0,189.0,75.0,42.0,Rectangle,0.0,1.0,0.0
25.0,190.0,75.0,43.5,Rectangle,0.0,1.0,0.0
27.0,188.0,83.0,43.0,Rectangle,0.0,1.0,0.0
19.0,185.0,70.0,44.0,Triangle,0.0,0.0,1.0
40.4,170.0,80.0,41.5,Triangle,0.0,0.0,1.0
39.0,168.0,67.0,42.0,Triangle,0.0,0.0,1.0
49.0,187.0,87.0,43.0,Rectangle,0.0,1.0,0.0
28.0,177.0,68.0,42.0,Rectangle,0.0,1.0,0.0
46.8,169.0,74.0,41.0,Rectangle,0.0,1.0,0.0
19.0,185.0,68.0,43.0,Inverted Triangle,1.0,0.0,0.0
25.0,178.0,62.0,42.0,Rectangle,0.0,1.0,0.0
35.3,172.0,77.0,41.0,Triangle,0.0,0.0,1.0
18.6,165.0,55.0,41.5,Rectangle,0.0,1.0,0.0
21.6,175.0,60.0,42.0,Inverted Triangle,1.0,0.0,0.0
19.5,177.0,62.0,42.5,Inverted Triangle,1.0,0.0,0.0
21.0,187.0,70.0,42.5,Triangle,0.0,0.0,1.0
20.5,176.0,72.0,42.5,Rectangle,0.0,1.0,0.0
26.0,195.0,70.0,42.0,Triangle,0.0,0.0,1.0
22.2,165.0,73.0,41.0,Triangle,0.0,0.0,1.0
19.8,175.0,70.0,42.5,Rectangle,0.0,1.0,0.0
