Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
27.8,173.0,68.0,39.5,Rectangle,0.0,1.0,0.0
20.9,176.0,68.0,43.0,Inverted Triangle,1.0,0.0,0.0
29.0,175.0,80.0,41.0,Rectangle,0.0,1.0,0.0
29.0,170.0,64.0,41.5,Rectangle,0.0,1.0,0.0
23.6,175.0,60.0,41.5,Rectangle,0.0,1.0,0.0
19.0,185.0,65.0,44.0,Rectangle,0.0,1.0,0.0
56.4,162.0,62.0,42.0,Rectangle,0.0,1.0,0.0
38.1,175.0,80.0,40.5,Triangle,0.0,0.0,1.0
28.8,171.0,59.0,39.0,Triangle,0.0,0.0,1.0
21.0,179.0,67.0,41.0,Rectangle,0.0,1.0,0.0
19.6,178.0,72.0,42.0,Rectangle,0.0,1.0,0.0
28.1,168.0,55.0,40.0,Rectangle,0.0,1.0,0.0
23.8,178.0,72.0,43.5,Rectangle,0.0,1.0,0.0
56.0,187.0,82.0,44.0,Rectangle,0.0,1.0,0.0
19.1,175.0,68.0,41.0,Inverted Triangle,1.0,0.0,0.0
28.8,170.0,57.0,39.0,Inverted Triangle,1.0,0.0,0.0
46.2,175.0,68.0,42.5,Rectangle,0.0,1.0,0.0
28.0,170.0,70.0,42.0,Inverted Triangle,1.0,0.0,0.0
20.0,177.0,90.0,43.5,Rectangle,0.0,1.0,0.0
19.0,180.0,62.5,43.0,Inverted Triangle,1.0,0.0,0.0
19.2,172.0,62.0,42.0,Rectangle,0.0,1.0,0.0
25.0,170.0,55.0,40.0,Rectangle,0.0,1.0,0.0
22.4,180.0,69.0,39.5,Inverted Triangle,1.0,0.0,0.0
24.0,183.0,90.0,43.0,Rectangle,0.0,1.0,0.0
53.0,168.0,73.0,40.0,Rectangle,0.0,1.0,0.0
40.0,186.0,120.0,46.0,Rectangle,0.0,1.0,0.0
30.0,192.0,94.0,45.0,Triangle,0.0,0.0,1.0
25.3,179.0,85.0,42.5,Rectangle,0.0,1.0,0.0
