"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
873.0,981.0,478.0,1069.0,811.0,618.0,493.0,1003.0,659.0,988.0,76.0,81.0
812.0,912.0,462.0,945.0,866.0,511.0,467.0,1089.0,645.0,860.0,80.0,95.0
820.0,945.0,456.0,972.0,847.0,548.0,476.0,1038.0,617.0,977.0,59.86000061035156,81.5999984741211
878.0,981.0,500.0,1046.0,788.0,633.0,482.0,985.0,602.0,987.0,74.0,76.0
825.0,916.0,466.0,946.0,807.0,575.0,446.0,1016.0,622.0,958.0,70.0,80.0
1060.0,1062.0,507.0,1037.0,851.0,623.0,465.0,1013.0,651.0,1071.0,67.4000015258789,81.16000366210938
740.0,871.0,430.0,914.0,901.0,502.0,433.0,1130.0,635.0,866.0,71.55000305175781,97.80999755859375
946.0,1090.0,513.0,1064.0,779.0,634.0,486.0,983.0,636.0,1083.0,68.0,80.0
839.0,937.0,530.0,1033.0,862.0,601.0,464.0,1084.0,623.0,952.0,72.11000061035156,89.94000244140625
865.0,1012.0,466.0,997.0,715.0,576.0,485.0,923.0,621.0,1026.0,67.0,78.0
953.0,1103.0,475.0,966.0,695.0,565.0,495.0,932.0,555.0,1118.0,66.0,77.0
941.0,1054.0,508.0,1001.0,817.0,568.0,459.0,1033.0,600.0,1047.0,67.76000213623047,89.73999786376953
944.0,1010.0,496.0,1011.0,910.0,551.0,479.0,1106.0,682.0,1005.0,70.73999786376953,94.05999755859375
919.0,998.0,478.0,1024.0,813.0,580.0,441.0,1036.0,622.0,995.0,72.69999694824219,89.2699966430664
955.0,1000.0,482.0,1064.0,859.0,624.0,481.0,1085.0,688.0,1010.0,82.66000366210938,94.3499984741211
967.0,1123.0,525.0,1085.0,797.0,569.0,490.0,1003.0,649.0,1113.0,71.11000061035156,98.48999786376953
1036.0,1153.0,500.0,1056.0,797.0,619.0,462.0,1043.0,608.0,1069.0,71.62000274658203,87.41000366210938
764.0,872.0,444.0,972.0,822.0,550.0,419.0,1013.0,631.0,897.0,73.0,86.0
827.0,913.0,473.0,955.0,933.0,548.0,439.0,1057.0,684.0,958.0,66.2699966430664,82.16999816894531
875.0,1090.0,486.0,1050.0,762.0,656.0,519.0,956.0,634.0,1140.0,62.0,74.0
837.0,1024.0,495.0,975.0,826.0,560.0,470.0,1076.0,660.0,1056.0,76.0,89.0
757.0,835.0,430.0,890.0,845.0,495.0,427.0,1056.0,620.0,832.0,66.0,73.0
787.0,862.0,445.0,979.0,765.0,585.0,457.0,970.0,619.0,901.0,63.0,83.0
1005.0,1190.0,527.0,1075.0,886.0,617.0,520.0,1108.0,676.0,1169.0,78.23999786376953,93.58999633789062
785.0,870.0,455.0,871.0,838.0,477.0,419.0,1006.0,623.0,924.0,74.0,88.0
873.0,899.0,453.0,1016.0,809.0,572.0,455.0,1024.0,618.0,966.0,79.26000213623047,96.77999877929688
816.0,905.0,490.0,1017.0,820.0,588.0,463.0,1046.0,633.0,925.0,70.0,86.0
750.0,901.0,440.0,874.0,800.0,487.0,446.0,1009.0,639.0,930.0,72.0,79.0
782.0,930.0,465.0,966.0,770.0,550.0,487.0,1001.0,667.0,955.0,67.0,76.0
993.0,1033.0,506.0,1025.0,850.0,551.0,437.0,1086.0,657.0,1030.0,65.45999908447266,84.27999877929688
915.0,1069.0,495.0,1097.0,863.0,651.0,494.0,1074.0,657.0,1074.0,69.45999908447266,85.91000366210938
1036.0,1064.0,528.0,1088.0,877.0,609.0,497.0,1162.0,685.0,1045.0,84.55000305175781,107.80000305175781
852.0,878.0,481.0,985.0,759.0,566.0,440.0,958.0,585.0,989.0,61.83000183105469,81.27999877929688
891.0,1015.0,482.0,985.0,871.0,540.0,474.0,1120.0,663.0,1028.0,73.69999694824219,83.06999969482422
967.0,1083.0,576.0,1090.0,813.0,621.0,467.0,1001.0,563.0,1081.0,92.44999694824219,93.8499984741211
802.0,914.0,475.0,932.0,832.0,543.0,440.0,1034.0,660.0,964.0,68.0,75.0
1084.0,1158.0,549.0,1104.0,731.0,605.0,501.0,984.0,631.0,1141.0,69.19000244140625,88.30999755859375
950.0,1116.0,507.0,1002.0,848.0,542.0,477.0,1074.0,638.0,1113.0,73.81999969482422,87.02999877929688
777.0,924.0,448.0,997.0,723.0,581.0,432.0,955.0,591.0,927.0,64.0,75.0
976.0,1032.0,515.0,1060.0,867.0,574.0,447.0,1072.0,655.0,1011.0,66.6500015258789,90.83999633789062
918.0,989.0,467.0,1008.0,795.0,565.0,461.0,1006.0,619.0,994.0,68.30999755859375,83.88999938964844
854.0,942.0,482.0,977.0,908.0,548.0,480.0,1169.0,710.0,977.0,72.94999694824219,105.31999969482422
764.0,849.0,452.0,906.0,887.0,487.0,434.0,1070.0,666.0,890.0,70.0,82.0
800.0,927.0,445.0,930.0,837.0,523.0,500.0,1044.0,667.0,1015.0,69.0,80.0
794.0,901.0,450.0,936.0,780.0,573.0,454.0,1002.0,619.0,923.0,66.0,77.0
985.0,1106.0,508.0,1090.0,752.0,612.0,481.0,948.0,635.0,1067.0,72.0,83.0
779.0,904.0,498.0,920.0,852.0,532.0,478.0,1069.0,640.0,968.0,69.27999877929688,85.87000274658203
869.0,957.0,464.0,952.0,770.0,521.0,426.0,980.0,571.0,965.0,66.75,78.66999816894531
787.0,934.0,453.0,1030.0,887.0,600.0,462.0,1102.0,649.0,959.0,80.91000366210938,101.38999938964844
1045.0,1175.0,470.0,1110.0,886.0,661.0,497.0,1116.0,708.0,1184.0,75.02999877929688,95.56999969482422
790.0,940.0,460.0,940.0,762.0,586.0,451.0,965.0,605.0,934.0,56.0,72.0
941.0,1043.0,514.0,1010.0,857.0,629.0,483.0,1074.0,644.0,1064.0,74.41000366210938,105.72000122070312
878.0,1050.0,521.0,1002.0,925.0,572.0,500.0,1175.0,674.0,1091.0,70.08000183105469,108.62999725341797
784.0,905.0,471.0,1000.0,805.0,590.0,502.0,1057.0,638.0,950.0,72.76000213623047,92.75
998.0,1096.0,494.0,1103.0,824.0,637.0,490.0,1040.0,648.0,1079.0,90.18000030517578,100.44999694824219
860.0,959.0,485.0,1070.0,763.0,650.0,471.0,1021.0,617.0,970.0,70.0,86.0
848.0,946.0,472.0,956.0,848.0,541.0,493.0,1108.0,637.0,991.0,80.77999877929688,92.51000213623047
910.0,1084.0,513.0,1028.0,863.0,561.0,471.0,1031.0,631.0,1046.0,64.63999938964844,89.25
945.0,1053.0,486.0,1042.0,787.0,606.0,470.0,972.0,606.0,1067.0,69.80000305175781,82.45999908447266
882.0,970.0,471.0,965.0,826.0,552.0,473.0,1024.0,635.0,993.0,67.6500015258789,93.20999908447266
983.0,1137.0,476.0,936.0,730.0,539.0,476.0,1010.0,624.0,1093.0,63.0,80.0
974.0,1044.0,524.0,1081.0,865.0,597.0,507.0,1104.0,632.0,1057.0,80.47000122070312,95.1500015258789
703.0,827.0,441.0,923.0,884.0,466.0,409.0,1107.0,617.0,849.0,74.54000091552734,89.22000122070312
840.0,964.0,468.0,980.0,827.0,530.0,478.0,1083.0,660.0,972.0,74.0,86.0
869.0,931.0,452.0,961.0,767.0,536.0,435.0,1016.0,589.0,939.0,69.69000244140625,102.19000244140625
928.0,986.0,482.0,1080.0,1005.0,613.0,503.0,1252.0,711.0,1020.0,72.79000091552734,95.55999755859375
844.0,923.0,442.0,1009.0,899.0,567.0,433.0,1084.0,645.0,936.0,68.16999816894531,77.36000061035156
927.0,1019.0,510.0,1019.0,882.0,583.0,514.0,1134.0,688.0,989.0,82.23999786376953,103.01000213623047
760.0,890.0,447.0,906.0,851.0,495.0,438.0,1068.0,659.0,915.0,77.0,88.0
934.0,996.0,491.0,988.0,856.0,549.0,443.0,1073.0,681.0,1001.0,74.0,84.0
855.0,962.0,494.0,1042.0,879.0,610.0,468.0,1114.0,621.0,996.0,67.13999938964844,98.80000305175781
888.0,899.0,436.0,941.0,849.0,529.0,431.0,1006.0,614.0,906.0,68.02999877929688,80.83999633789062
888.0,978.0,450.0,946.0,781.0,511.0,429.0,984.0,582.0,990.0,65.1500015258789,86.91000366210938
780.0,914.0,460.0,919.0,789.0,533.0,433.0,953.0,618.0,921.0,68.0,80.0
923.0,994.0,518.0,1040.0,905.0,569.0,492.0,1160.0,701.0,1032.0,72.19000244140625,97.23999786376953
950.0,992.0,523.0,998.0,861.0,564.0,460.0,1058.0,662.0,1007.0,74.41999816894531,90.31999969482422
830.0,1016.0,485.0,935.0,907.0,580.0,486.0,1093.0,707.0,1067.0,70.0,84.0
1005.0,1100.0,520.0,1059.0,842.0,630.0,490.0,1083.0,692.0,1091.0,74.58999633789062,102.29000091552734
752.0,840.0,460.0,908.0,866.0,518.0,418.0,1065.0,619.0,837.0,75.23999786376953,97.06999969482422
782.0,884.0,460.0,1008.0,805.0,603.0,452.0,1055.0,635.0,921.0,71.0,79.0
1110.0,1170.0,595.0,1215.0,1014.0,717.0,535.0,1238.0,740.0,1131.0,83.87000274658203,103.04000091552734
763.0,890.0,479.0,904.0,752.0,503.0,428.0,957.0,587.0,933.0,57.84000015258789,77.22000122070312
783.0,874.0,457.0,896.0,825.0,491.0,421.0,1006.0,643.0,900.0,62.0,79.0
887.0,1050.0,500.0,1007.0,879.0,567.0,480.0,1103.0,667.0,1060.0,85.0,93.0
