Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
25.1,170.0,56.0,39.5,Triangle,0.0,0.0,1.0
29.1,158.0,50.0,36.0,Triangle,0.0,0.0,1.0
40.0,164.0,75.0,39.0,Inverted Triangle,1.0,0.0,0.0
25.0,183.0,73.0,42.0,Triangle,0.0,0.0,1.0
40.0,162.0,55.0,37.0,Rectangle,0.0,1.0,0.0
20.2,164.0,50.0,38.0,Triangle,0.0,0.0,1.0
28.0,162.0,60.0,37.0,Triangle,0.0,0.0,1.0
42.0,152.0,57.0,37.0,Triangle,0.0,0.0,1.0
19.7,160.0,45.0,35.5,Inverted Triangle,1.0,0.0,0.0
34.0,167.0,75.0,40.0,Triangle,0.0,0.0,1.0
18.5,167.0,53.0,39.5,Triangle,0.0,0.0,1.0
55.0,164.0,82.0,39.0,Rectangle,0.0,1.0,0.0
30.0,172.0,68.0,39.0,Triangle,0.0,0.0,1.0
33.0,162.0,77.0,36.0,Triangle,0.0,0.0,1.0
23.0,165.0,55.0,37.0,Triangle,0.0,0.0,1.0
30.0,165.0,60.0,37.0,Triangle,0.0,0.0,1.0
31.0,160.0,52.0,37.5,Triangle,0.0,0.0,1.0
30.0,171.0,64.0,40.0,Triangle,0.0,0.0,1.0
46.0,161.0,135.0,39.0,Rectangle,0.0,1.0,0.0
19.4,165.0,46.8,38.0,Triangle,0.0,0.0,1.0
28.0,155.0,58.0,36.0,Triangle,0.0,0.0,1.0
20.5,172.0,64.0,39.0,Triangle,0.0,0.0,1.0
22.0,179.0,72.0,41.0,Triangle,0.0,0.0,1.0
53.0,156.0,60.0,35.0,Triangle,0.0,0.0,1.0
18.3,170.0,62.0,39.5,Triangle,0.0,0.0,1.0
60.0,170.0,75.0,40.0,Rectangle,0.0,1.0,0.0
25.4,169.0,60.0,40.0,Triangle,0.0,0.0,1.0
21.9,162.0,59.0,37.5,Triangle,0.0,0.0,1.0
19.6,152.0,45.0,36.5,Triangle,0.0,0.0,1.0
26.7,174.0,51.0,38.5,Triangle,0.0,0.0,1.0
