Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
49.0,172.0,75.0,39.0,Rectangle,0.0,1.0,0.0
40.5,155.0,48.0,35.5,Rectangle,0.0,1.0,0.0
19.5,174.0,53.0,38.0,Triangle,0.0,0.0,1.0
29.0,173.0,68.0,41.0,Rectangle,0.0,1.0,0.0
41.0,181.0,60.0,39.0,Triangle,0.0,0.0,1.0
45.0,181.0,82.5,40.0,Triangle,0.0,0.0,1.0
35.5,166.0,66.0,37.5,Rectangle,0.0,1.0,0.0
45.0,168.0,85.0,40.5,Triangle,0.0,0.0,1.0
57.0,160.0,70.0,38.0,Triangle,0.0,0.0,1.0
22.0,165.0,67.0,39.0,Triangle,0.0,0.0,1.0
21.3,158.0,46.0,36.0,Triangle,0.0,0.0,1.0
30.0,178.0,64.0,41.0,Triangle,0.0,0.0,1.0
32.0,175.0,68.0,39.0,Triangle,0.0,0.0,1.0
58.0,164.0,107.0,40.0,Inverted Triangle,1.0,0.0,0.0
37.4,163.0,78.0,37.5,Triangle,0.0,0.0,1.0
38.0,174.0,59.0,39.5,Rectangle,0.0,1.0,0.0
22.1,150.0,52.0,36.0,Rectangle,0.0,1.0,0.0
20.0,174.0,70.0,40.0,Triangle,0.0,0.0,1.0
52.0,150.0,92.0,38.0,Triangle,0.0,0.0,1.0
21.0,170.0,68.0,40.0,Triangle,0.0,0.0,1.0
44.0,173.0,72.0,40.0,Triangle,0.0,0.0,1.0
24.0,165.0,60.0,37.0,Rectangle,0.0,1.0,0.0
57.9,166.0,60.0,38.0,Rectangle,0.0,1.0,0.0
22.5,165.0,64.0,39.0,Rectangle,0.0,1.0,0.0
32.0,170.0,65.0,40.0,Triangle,0.0,0.0,1.0
20.0,169.0,55.0,39.0,Triangle,0.0,0.0,1.0
30.0,175.0,57.0,39.0,Rectangle,0.0,1.0,0.0
34.0,164.0,95.0,39.0,Inverted Triangle,1.0,0.0,0.0
32.6,160.0,60.0,36.0,Triangle,0.0,0.0,1.0
20.0,173.0,76.0,39.5,Triangle,0.0,0.0,1.0
64.0,173.0,78.0,40.0,Inverted Triangle,1.0,0.0,0.0
45.4,160.0,66.0,38.0,Triangle,0.0,0.0,1.0
24.2,162.0,48.0,38.0,Triangle,0.0,0.0,1.0
49.1,155.0,49.0,36.0,Triangle,0.0,0.0,1.0
26.0,180.0,63.0,39.0,Triangle,0.0,0.0,1.0
47.0,161.5,55.0,38.0,Triangle,0.0,0.0,1.0
25.5,165.0,61.0,38.0,Triangle,0.0,0.0,1.0
25.4,163.0,53.0,39.0,Triangle,0.0,0.0,1.0
20.0,160.0,75.0,41.0,Triangle,0.0,0.0,1.0
55.0,167.0,90.0,39.0,Rectangle,0.0,1.0,0.0
24.1,158.0,47.0,37.5,Triangle,0.0,0.0,1.0
22.5,165.0,55.0,36.0,Rectangle,0.0,1.0,0.0
39.0,167.0,60.5,40.0,Triangle,0.0,0.0,1.0
20.0,167.0,54.0,38.0,Triangle,0.0,0.0,1.0
23.0,165.0,73.0,38.0,Triangle,0.0,0.0,1.0
28.7,165.0,63.5,39.0,Triangle,0.0,0.0,1.0
41.0,176.0,75.0,40.0,Rectangle,0.0,1.0,0.0
44.0,180.0,69.0,40.0,Rectangle,0.0,1.0,0.0
18.2,160.0,51.0,38.0,Rectangle,0.0,1.0,0.0
52.0,169.0,89.0,42.0,Rectangle,0.0,1.0,0.0
53.1,160.0,75.0,39.0,Triangle,0.0,0.0,1.0
56.0,165.0,77.0,39.0,Triangle,0.0,0.0,1.0
24.0,167.0,60.0,37.0,Triangle,0.0,0.0,1.0
60.0,161.0,97.0,37.0,Inverted Triangle,1.0,0.0,0.0
44.6,158.0,94.0,38.5,Rectangle,0.0,1.0,0.0
22.9,165.0,60.0,37.5,Triangle,0.0,0.0,1.0
57.0,169.0,105.0,40.0,Rectangle,0.0,1.0,0.0
47.0,174.0,69.0,40.0,Rectangle,0.0,1.0,0.0
48.0,156.0,79.0,38.0,Triangle,0.0,0.0,1.0
56.0,158.0,70.0,38.0,Triangle,0.0,0.0,1.0
29.0,172.0,63.0,39.0,Triangle,0.0,0.0,1.0
53.0,165.0,99.0,40.0,Inverted Triangle,1.0,0.0,0.0
53.1,160.0,55.0,36.5,Triangle,0.0,0.0,1.0
25.0,158.0,46.0,37.0,Triangle,0.0,0.0,1.0
42.0,168.0,63.0,38.0,Triangle,0.0,0.0,1.0
20.0,162.0,49.0,39.0,Triangle,0.0,0.0,1.0
42.0,150.0,74.0,37.0,Inverted Triangle,1.0,0.0,0.0
38.0,158.0,53.0,36.0,Rectangle,0.0,1.0,0.0
35.0,172.0,77.0,40.0,Triangle,0.0,0.0,1.0
23.0,168.0,59.0,39.0,Triangle,0.0,0.0,1.0
34.0,172.0,68.0,38.5,Triangle,0.0,0.0,1.0
35.2,150.0,42.0,36.5,Triangle,0.0,0.0,1.0
23.0,163.0,53.0,36.0,Triangle,0.0,0.0,1.0
37.0,183.0,115.0,42.0,Rectangle,0.0,1.0,0.0
20.0,180.0,68.0,40.0,Triangle,0.0,0.0,1.0
30.8,165.0,46.0,38.0,Triangle,0.0,0.0,1.0
19.9,170.0,55.0,40.0,Triangle,0.0,0.0,1.0
30.0,170.0,63.0,40.0,Triangle,0.0,0.0,1.0
45.0,162.0,56.0,37.0,Rectangle,0.0,1.0,0.0
42.0,176.0,60.0,39.0,Triangle,0.0,0.0,1.0
26.6,150.0,46.0,36.0,Triangle,0.0,0.0,1.0
22.0,166.0,60.0,36.0,Triangle,0.0,0.0,1.0
34.0,167.0,62.0,39.0,Rectangle,0.0,1.0,0.0
19.1,162.0,73.0,37.0,Triangle,0.0,0.0,1.0
20.0,178.0,79.0,39.0,Rectangle,0.0,1.0,0.0
57.0,160.0,61.0,39.0,Triangle,0.0,0.0,1.0
19.0,179.0,80.0,42.0,Triangle,0.0,0.0,1.0
31.0,167.0,59.0,40.0,Triangle,0.0,0.0,1.0
30.0,174.0,65.0,39.0,Triangle,0.0,0.0,1.0
64.8,158.0,64.0,36.0,Rectangle,0.0,1.0,0.0
24.0,166.0,53.0,38.0,Triangle,0.0,0.0,1.0
44.0,163.0,64.0,39.0,Triangle,0.0,0.0,1.0
47.4,152.0,56.0,36.5,Inverted Triangle,1.0,0.0,0.0
35.0,170.0,80.0,38.0,Triangle,0.0,0.0,1.0
33.0,167.0,72.0,38.0,Triangle,0.0,0.0,1.0
18.1,170.0,55.0,40.0,Triangle,0.0,0.0,1.0
37.9,173.0,60.0,39.0,Triangle,0.0,0.0,1.0
40.0,159.0,57.0,37.0,Triangle,0.0,0.0,1.0
22.0,168.0,65.0,40.0,Triangle,0.0,0.0,1.0
50.0,167.0,61.0,38.0,Triangle,0.0,0.0,1.0
18.7,177.0,70.0,38.0,Triangle,0.0,0.0,1.0
41.0,161.0,60.0,38.0,Triangle,0.0,0.0,1.0
20.1,170.0,55.0,38.5,Triangle,0.0,0.0,1.0
59.7,158.0,59.0,36.5,Rectangle,0.0,1.0,0.0
57.0,162.0,67.0,40.0,Inverted Triangle,1.0,0.0,0.0
27.2,168.0,69.0,40.0,Triangle,0.0,0.0,1.0
51.0,155.0,81.0,38.0,Rectangle,0.0,1.0,0.0
26.2,157.0,46.0,36.0,Triangle,0.0,0.0,1.0
44.0,180.0,85.0,42.0,Inverted Triangle,1.0,0.0,0.0
55.0,163.0,69.0,39.0,Rectangle,0.0,1.0,0.0
22.5,170.0,63.0,39.0,Triangle,0.0,0.0,1.0
30.0,183.0,73.0,41.0,Triangle,0.0,0.0,1.0
25.0,170.0,67.0,40.0,Triangle,0.0,0.0,1.0
31.0,172.0,65.0,41.0,Inverted Triangle,1.0,0.0,0.0
50.0,176.0,76.0,39.0,Rectangle,0.0,1.0,0.0
41.0,176.0,72.0,42.0,Triangle,0.0,0.0,1.0
28.0,159.0,63.0,38.0,Triangle,0.0,0.0,1.0
54.0,162.0,58.5,37.5,Triangle,0.0,0.0,1.0
20.0,163.0,97.0,40.0,Rectangle,0.0,1.0,0.0
18.8,160.0,54.0,38.0,Triangle,0.0,0.0,1.0
61.0,178.0,82.0,42.0,Inverted Triangle,1.0,0.0,0.0
44.4,154.0,49.0,37.0,Triangle,0.0,0.0,1.0
26.8,162.0,51.0,37.0,Rectangle,0.0,1.0,0.0
37.0,180.0,83.0,42.0,Triangle,0.0,0.0,1.0
21.0,171.0,58.0,38.0,Triangle,0.0,0.0,1.0
39.0,175.0,64.0,42.0,Triangle,0.0,0.0,1.0
23.0,174.0,88.0,39.0,Rectangle,0.0,1.0,0.0
33.0,172.0,70.0,41.0,Triangle,0.0,0.0,1.0
32.0,180.0,88.0,40.0,Triangle,0.0,0.0,1.0
22.5,157.0,65.0,37.0,Rectangle,0.0,1.0,0.0
28.0,159.0,70.0,37.0,Triangle,0.0,0.0,1.0
18.4,175.0,55.0,38.0,Triangle,0.0,0.0,1.0
47.0,175.0,71.0,40.0,Triangle,0.0,0.0,1.0
59.0,170.0,86.0,40.0,Triangle,0.0,0.0,1.0
22.5,178.0,55.0,38.0,Triangle,0.0,0.0,1.0
26.0,176.0,65.0,37.0,Triangle,0.0,0.0,1.0
55.0,163.0,63.0,37.5,Triangle,0.0,0.0,1.0
20.0,158.0,49.0,36.0,Triangle,0.0,0.0,1.0
25.9,172.0,56.0,39.0,Triangle,0.0,0.0,1.0
27.0,183.0,85.5,43.0,Rectangle,0.0,1.0,0.0
24.0,180.0,100.0,42.0,Triangle,0.0,0.0,1.0
52.0,168.0,64.0,38.0,Triangle,0.0,0.0,1.0
36.0,170.0,65.0,39.0,Triangle,0.0,0.0,1.0
41.1,157.0,52.0,36.0,Triangle,0.0,0.0,1.0
58.6,179.0,65.4,38.5,Triangle,0.0,0.0,1.0
20.1,164.0,49.0,36.0,Triangle,0.0,0.0,1.0
20.0,170.0,57.0,37.5,Triangle,0.0,0.0,1.0
20.0,174.0,68.0,41.0,Triangle,0.0,0.0,1.0
39.0,173.0,60.0,37.0,Triangle,0.0,0.0,1.0
26.6,165.0,52.0,37.0,Triangle,0.0,0.0,1.0
32.6,166.0,62.0,38.0,Triangle,0.0,0.0,1.0
20.1,160.0,52.0,37.0,Triangle,0.0,0.0,1.0
64.6,160.0,59.0,39.0,Rectangle,0.0,1.0,0.0
31.8,170.0,53.0,37.5,Triangle,0.0,0.0,1.0
54.0,167.0,57.0,40.0,Rectangle,0.0,1.0,0.0
42.2,169.0,53.0,38.5,Triangle,0.0,0.0,1.0
28.0,168.0,53.0,37.5,Triangle,0.0,0.0,1.0
47.9,163.0,59.0,38.5,Triangle,0.0,0.0,1.0
50.0,164.0,75.0,38.0,Triangle,0.0,0.0,1.0
51.0,178.0,85.0,42.0,Triangle,0.0,0.0,1.0
45.3,170.0,62.0,41.0,Triangle,0.0,0.0,1.0
29.0,175.0,80.0,41.0,Triangle,0.0,0.0,1.0
38.0,162.0,55.0,36.0,Triangle,0.0,0.0,1.0
36.8,163.0,50.0,36.0,Rectangle,0.0,1.0,0.0
40.7,166.0,90.0,39.5,Triangle,0.0,0.0,1.0
39.0,182.0,78.0,38.0,Triangle,0.0,0.0,1.0
21.4,165.0,50.0,38.5,Triangle,0.0,0.0,1.0
23.0,170.0,54.0,40.0,Triangle,0.0,0.0,1.0
22.0,165.0,55.0,38.0,Triangle,0.0,0.0,1.0
30.3,158.0,60.0,38.0,Triangle,0.0,0.0,1.0
55.8,157.0,57.0,37.0,Rectangle,0.0,1.0,0.0
22.7,153.0,43.0,36.0,Rectangle,0.0,1.0,0.0
23.5,160.0,50.0,37.0,Triangle,0.0,0.0,1.0
28.5,170.0,56.0,38.5,Triangle,0.0,0.0,1.0
53.0,178.0,65.0,44.0,Rectangle,0.0,1.0,0.0
24.0,178.0,60.0,39.0,Triangle,0.0,0.0,1.0
25.5,167.0,53.0,38.0,Rectangle,0.0,1.0,0.0
27.0,169.0,60.0,37.0,Triangle,0.0,0.0,1.0
30.2,160.0,53.0,37.0,Triangle,0.0,0.0,1.0
42.0,174.0,86.0,40.0,Rectangle,0.0,1.0,0.0
48.0,167.0,72.0,38.0,Rectangle,0.0,1.0,0.0
24.8,160.0,51.0,38.5,Triangle,0.0,0.0,1.0
26.0,168.0,70.0,39.0,Triangle,0.0,0.0,1.0
19.5,163.0,57.0,37.0,Triangle,0.0,0.0,1.0
51.0,165.0,66.0,38.0,Triangle,0.0,0.0,1.0
21.0,168.0,63.0,37.0,Triangle,0.0,0.0,1.0
20.0,166.0,63.0,38.0,Triangle,0.0,0.0,1.0
27.3,160.0,49.0,35.5,Triangle,0.0,0.0,1.0
33.0,160.0,58.0,37.0,Triangle,0.0,0.0,1.0
46.0,158.0,78.0,38.0,Rectangle,0.0,1.0,0.0
51.0,165.0,86.0,39.0,Triangle,0.0,0.0,1.0
20.6,168.0,56.0,38.0,Triangle,0.0,0.0,1.0
21.3,169.0,53.0,39.0,Triangle,0.0,0.0,1.0
29.0,184.0,74.0,42.0,Triangle,0.0,0.0,1.0
55.0,167.0,74.0,39.0,Rectangle,0.0,1.0,0.0
30.5,155.0,49.0,37.0,Triangle,0.0,0.0,1.0
43.5,163.0,50.0,35.5,Triangle,0.0,0.0,1.0
26.0,185.0,70.0,40.0,Triangle,0.0,0.0,1.0
53.0,170.0,96.0,39.5,Triangle,0.0,0.0,1.0
32.0,164.0,57.0,38.0,Triangle,0.0,0.0,1.0
21.7,157.0,43.0,36.5,Rectangle,0.0,1.0,0.0
27.7,168.0,56.0,38.0,Triangle,0.0,0.0,1.0
27.0,165.0,80.0,40.0,Triangle,0.0,0.0,1.0
29.6,156.0,51.0,36.5,Triangle,0.0,0.0,1.0
25.4,171.0,60.0,39.0,Triangle,0.0,0.0,1.0
53.0,181.0,90.0,41.0,Inverted Triangle,1.0,0.0,0.0
30.7,155.0,52.0,37.0,Triangle,0.0,0.0,1.0
36.0,168.0,78.0,39.0,Triangle,0.0,0.0,1.0
39.0,170.0,95.0,41.5,Inverted Triangle,1.0,0.0,0.0
48.0,167.0,75.0,41.0,Rectangle,0.0,1.0,0.0
24.0,175.0,55.0,39.0,Triangle,0.0,0.0,1.0
22.5,168.0,56.0,39.5,Triangle,0.0,0.0,1.0
23.9,160.0,46.0,36.0,Triangle,0.0,0.0,1.0
20.0,175.0,64.0,38.0,Rectangle,0.0,1.0,0.0
19.5,168.0,50.0,37.5,Triangle,0.0,0.0,1.0
25.0,159.0,47.0,37.0,Triangle,0.0,0.0,1.0
