"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
1189.0,1286.0,1082.0,515.0,1262.0,803.0,711.0,483.0,1050.0,580.0,1126.0,62.32,81.65
660.0,845.0,730.0,422.0,915.0,704.0,525.0,402.0,941.0,568.0,861.0,54.0,74.0
868.0,1030.0,876.0,430.0,1042.0,769.0,587.0,405.0,999.0,577.0,1003.0,63.45,68.08
690.0,848.0,678.0,421.0,912.0,705.0,545.0,389.0,895.0,538.0,795.0,54.0,63.0
1117.0,1318.0,1046.0,521.0,1220.0,814.0,647.0,500.0,1056.0,655.0,1209.0,66.79,79.97
685.0,887.0,729.0,405.0,909.0,661.0,525.0,398.0,903.0,543.0,837.0,64.0,71.0
821.0,975.0,817.0,447.0,1102.0,850.0,620.0,454.0,1119.0,613.0,952.0,66.61,86.66
771.0,881.0,729.0,431.0,974.0,706.0,571.0,402.0,908.0,571.0,842.0,66.0,70.0
943.0,1177.0,905.0,455.0,1150.0,778.0,650.0,445.0,1017.0,605.0,1036.0,69.27,86.02
1005.0,1143.0,905.0,527.0,1214.0,845.0,720.0,444.0,1050.0,590.0,1043.0,62.22,87.84
748.0,870.0,698.0,438.0,925.0,757.0,515.0,411.0,960.0,585.0,820.0,62.0,72.0
970.0,1048.0,893.0,491.0,1091.0,785.0,651.0,480.0,1024.0,588.0,1056.0,64.33,83.87
872.0,882.0,800.0,430.0,960.0,670.0,545.0,390.0,916.0,555.0,847.0,60.0,66.0
917.0,1003.0,858.0,473.0,1090.0,817.0,641.0,396.0,1039.0,607.0,957.0,70.55,71.3
650.0,888.0,725.0,422.0,928.0,726.0,504.0,382.0,954.0,579.0,853.0,64.79,76.9
983.0,1144.0,906.0,480.0,1096.0,756.0,639.0,505.0,1030.0,575.0,1067.0,67.45,79.0
855.0,991.0,827.0,475.0,1043.0,689.0,629.0,414.0,936.0,533.0,941.0,48.4,75.37
877.0,907.0,763.0,393.0,960.0,749.0,578.0,390.0,910.0,543.0,866.0,64.52,76.03
775.0,864.0,725.0,442.0,962.0,768.0,559.0,398.0,964.0,576.0,831.0,56.0,72.0
770.0,866.0,762.0,408.0,1040.0,851.0,595.0,412.0,1046.0,608.0,857.0,65.92,76.36
677.0,849.0,710.0,400.0,926.0,756.0,518.0,402.0,967.0,573.0,818.0,59.0,69.0
761.0,893.0,732.0,409.0,977.0,753.0,584.0,419.0,1016.0,564.0,872.0,64.0,77.0
773.0,979.0,785.0,430.0,998.0,817.0,573.0,420.0,1081.0,635.0,956.0,62.0,68.0
730.0,900.0,724.0,435.0,1105.0,791.0,627.0,443.0,1043.0,588.0,888.0,66.03,80.94
675.0,876.0,772.0,413.0,950.0,831.0,524.0,401.0,1062.0,589.0,845.0,66.22,82.12
743.0,929.0,800.0,405.0,930.0,688.0,561.0,392.0,924.0,554.0,867.0,60.0,75.0
717.0,846.0,689.0,450.0,905.0,765.0,476.0,384.0,944.0,580.0,821.0,60.0,74.0
759.0,897.0,780.0,444.0,999.0,738.0,567.0,408.0,955.0,526.0,852.0,51.76,64.07
752.0,900.0,734.0,425.0,990.0,726.0,570.0,397.0,953.0,586.0,834.0,63.0,69.0
807.0,910.0,730.0,445.0,943.0,762.0,516.0,409.0,975.0,570.0,834.0,64.0,71.0
710.0,898.0,741.0,408.0,1051.0,773.0,561.0,422.0,1034.0,599.0,843.0,59.76,84.78
790.0,950.0,805.0,488.0,1045.0,866.0,615.0,425.0,1144.0,667.0,910.0,76.0,80.0
820.0,958.0,810.0,457.0,1087.0,757.0,590.0,401.0,1026.0,569.0,932.0,72.95,90.06
637.0,835.0,702.0,383.0,1022.0,720.0,573.0,398.0,954.0,519.0,827.0,59.78,74.01
803.0,995.0,785.0,393.0,1079.0,800.0,612.0,441.0,1040.0,603.0,934.0,63.57,72.13
975.0,1131.0,960.0,505.0,1286.0,843.0,762.0,452.0,1096.0,650.0,1066.0,73.61,76.19
705.0,905.0,732.0,417.0,975.0,726.0,562.0,411.0,927.0,563.0,860.0,58.0,67.0
822.0,926.0,769.0,443.0,904.0,753.0,487.0,403.0,990.0,589.0,880.0,57.23,78.22
968.0,1146.0,900.0,464.0,1215.0,778.0,670.0,438.0,1079.0,604.0,1024.0,66.56,73.16
735.0,887.0,769.0,399.0,905.0,816.0,531.0,404.0,1019.0,593.0,835.0,58.46,75.25
885.0,1088.0,883.0,477.0,1165.0,758.0,712.0,492.0,1006.0,561.0,977.0,59.65,76.72
785.0,963.0,770.0,451.0,1008.0,809.0,584.0,417.0,1090.0,613.0,907.0,74.0,85.0
808.0,1003.0,822.0,427.0,935.0,712.0,537.0,417.0,936.0,541.0,957.0,65.08,71.05
931.0,1182.0,940.0,450.0,1140.0,731.0,622.0,429.0,981.0,565.0,1000.0,66.0,70.0
840.0,890.0,745.0,455.0,1021.0,745.0,578.0,413.0,944.0,577.0,862.0,66.0,75.0
795.0,1036.0,825.0,477.0,1108.0,802.0,653.0,412.0,1040.0,565.0,950.0,66.9,78.45
603.0,780.0,684.0,426.0,894.0,715.0,528.0,376.0,949.0,520.0,787.0,57.0,66.0
1022.0,1141.0,945.0,481.0,1072.0,755.0,581.0,434.0,998.0,574.0,1034.0,64.38,84.45
1062.0,1148.0,981.0,471.0,1156.0,657.0,659.0,415.0,921.0,541.0,1060.0,60.92,77.56
718.0,800.0,666.0,435.0,985.0,737.0,565.0,400.0,975.0,606.0,782.0,64.0,75.0
740.0,825.0,700.0,402.0,1000.0,778.0,524.0,410.0,1017.0,629.0,813.0,67.0,82.0
868.0,1032.0,858.0,460.0,1057.0,778.0,640.0,455.0,1023.0,571.0,1005.0,72.6,88.9
860.0,1035.0,830.0,440.0,1040.0,699.0,550.0,472.0,951.0,580.0,985.0,60.0,71.0
893.0,1099.0,881.0,483.0,1049.0,799.0,630.0,433.0,1065.0,598.0,1012.0,68.1,79.37
748.0,928.0,790.0,417.0,1023.0,780.0,557.0,426.0,1017.0,545.0,887.0,58.74,75.87
899.0,1032.0,863.0,432.0,1033.0,848.0,579.0,431.0,1120.0,621.0,984.0,65.2,78.36
850.0,1051.0,822.0,450.0,1040.0,783.0,640.0,450.0,1037.0,603.0,951.0,68.61,71.54
764.0,883.0,792.0,455.0,965.0,840.0,555.0,430.0,1087.0,600.0,880.0,74.15,81.15
691.0,881.0,740.0,425.0,971.0,792.0,551.0,419.0,1030.0,608.0,862.0,68.0,82.0
728.0,865.0,710.0,415.0,970.0,710.0,595.0,420.0,942.0,548.0,848.0,62.0,70.0
