"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
786.0,950.0,505.0,995.0,785.0,609.0,458.0,997.0,617.0,995.0,71.7,64.0,78.0
825.0,1004.0,481.0,1027.0,840.0,581.0,471.0,1070.0,645.0,1025.0,80.7,60.06,85.63
910.0,1084.0,513.0,1028.0,863.0,561.0,471.0,1031.0,631.0,1046.0,84.9,64.64,89.25
784.0,871.0,453.0,950.0,865.0,555.0,422.0,1083.0,636.0,889.0,66.0,74.89,89.72
890.0,1055.0,473.0,992.0,826.0,555.0,441.0,1055.0,632.0,1091.0,84.2,73.76,92.44
1065.0,1078.0,554.0,1139.0,934.0,619.0,494.0,1170.0,699.0,1090.0,106.4,78.66,102.58
931.0,1014.0,488.0,1063.0,855.0,602.0,496.0,1082.0,653.0,1045.0,89.3,59.17,87.72
1048.0,1179.0,520.0,1081.0,871.0,616.0,495.0,1074.0,669.0,1139.0,110.2,77.06,99.79
950.0,994.0,485.0,980.0,783.0,502.0,456.0,989.0,655.0,990.0,77.7,71.0,86.0
772.0,949.0,470.0,985.0,844.0,547.0,452.0,1073.0,655.0,973.0,70.9,69.0,86.0
960.0,1081.0,516.0,982.0,827.0,535.0,501.0,1064.0,667.0,1070.0,80.6,66.0,82.0
915.0,1033.0,507.0,1003.0,871.0,601.0,508.0,977.0,640.0,1033.0,78.4,78.05,99.45
757.0,914.0,464.0,951.0,841.0,533.0,483.0,1075.0,639.0,966.0,64.4,69.4,86.03
877.0,960.0,460.0,970.0,901.0,550.0,493.0,1068.0,637.0,985.0,75.8,65.29,83.11
798.0,891.0,506.0,922.0,732.0,511.0,447.0,944.0,545.0,938.0,64.8,57.53,75.7
981.0,1128.0,557.0,1035.0,772.0,602.0,484.0,966.0,599.0,1100.0,86.6,74.38,85.63
952.0,1041.0,514.0,1123.0,831.0,689.0,488.0,1073.0,664.0,1074.0,91.9,75.33,82.24
787.0,862.0,445.0,979.0,765.0,585.0,457.0,970.0,619.0,901.0,63.5,63.0,83.0
708.0,804.0,437.0,839.0,736.0,477.0,398.0,976.0,582.0,859.0,50.8,66.0,75.0
899.0,1048.0,503.0,987.0,794.0,528.0,454.0,1020.0,585.0,1027.0,79.7,71.74,97.58
875.0,1032.0,468.0,1029.0,860.0,613.0,504.0,1087.0,653.0,1045.0,85.2,69.6,94.46
776.0,885.0,488.0,947.0,842.0,550.0,443.0,1049.0,613.0,895.0,63.0,72.13,84.52
853.0,942.0,485.0,940.0,888.0,544.0,474.0,1098.0,677.0,962.0,79.0,68.86,103.86
827.0,970.0,470.0,1020.0,829.0,578.0,499.0,1058.0,650.0,1011.0,80.0,64.48,98.97
868.0,972.0,464.0,1002.0,832.0,587.0,458.0,1015.0,615.0,992.0,77.1,79.53,91.23
740.0,877.0,479.0,883.0,735.0,535.0,434.0,939.0,568.0,917.0,59.0,66.0,71.0
857.0,948.0,472.0,1018.0,874.0,559.0,471.0,1110.0,678.0,990.0,77.1,78.41,85.86
815.0,947.0,490.0,993.0,898.0,587.0,482.0,1133.0,650.0,977.0,82.2,76.08,96.42
923.0,1011.0,463.0,1027.0,786.0,562.0,473.0,1013.0,588.0,990.0,76.8,69.52,91.49
885.0,953.0,455.0,953.0,758.0,549.0,473.0,964.0,615.0,982.0,68.4,66.0,79.0
781.0,907.0,466.0,926.0,848.0,532.0,456.0,1052.0,619.0,939.0,61.5,70.45,76.09
856.0,978.0,440.0,1015.0,940.0,577.0,472.0,1134.0,656.0,1022.0,75.5,66.65,77.05
933.0,1064.0,508.0,1057.0,874.0,635.0,488.0,1049.0,630.0,1037.0,86.8,67.64,84.44
934.0,996.0,491.0,988.0,856.0,549.0,443.0,1073.0,681.0,1001.0,78.9,74.0,84.0
972.0,994.0,471.0,1090.0,725.0,594.0,446.0,964.0,633.0,1036.0,82.3,64.0,75.0
873.0,899.0,453.0,1016.0,809.0,572.0,455.0,1024.0,618.0,966.0,77.2,79.26,96.78
887.0,947.0,439.0,1012.0,754.0,550.0,447.0,920.0,616.0,963.0,70.6,66.0,77.0
1041.0,1100.0,547.0,1080.0,869.0,598.0,522.0,1107.0,694.0,1135.0,98.0,75.01,94.42
768.0,973.0,466.0,870.0,734.0,513.0,454.0,933.0,561.0,978.0,60.2,58.0,71.0
997.0,1081.0,523.0,1045.0,760.0,589.0,507.0,970.0,628.0,1061.0,91.3,63.91,77.57
927.0,1005.0,473.0,1034.0,876.0,581.0,442.0,1070.0,644.0,978.0,82.2,85.88,94.82
751.0,884.0,460.0,909.0,760.0,533.0,428.0,949.0,585.0,895.0,62.1,64.0,73.0
701.0,851.0,447.0,871.0,780.0,476.0,413.0,993.0,599.0,913.0,52.8,66.0,80.0
825.0,913.0,450.0,980.0,809.0,550.0,441.0,1026.0,652.0,911.0,71.2,75.0,87.0
992.0,1010.0,485.0,1065.0,681.0,590.0,468.0,980.0,600.0,1013.0,82.2,64.0,83.0
850.0,980.0,469.0,987.0,674.0,556.0,471.0,902.0,558.0,1040.0,70.1,60.32,84.9
1170.0,1213.0,523.0,1174.0,758.0,630.0,513.0,965.0,631.0,1173.0,110.4,78.0,83.0
1147.0,1207.0,560.0,1130.0,855.0,604.0,510.0,1056.0,670.0,1137.0,108.9,79.46,81.57
1063.0,1170.0,532.0,1066.0,815.0,634.0,495.0,965.0,664.0,1104.0,110.8,72.3,83.19
988.0,1064.0,458.0,1032.0,704.0,588.0,461.0,944.0,586.0,1040.0,80.6,72.0,83.0
862.0,919.0,442.0,1031.0,871.0,609.0,469.0,1074.0,646.0,961.0,78.1,70.45,80.49
820.0,978.0,475.0,945.0,770.0,543.0,487.0,985.0,629.0,1012.0,70.5,72.0,86.0
886.0,998.0,486.0,1035.0,871.0,598.0,454.0,1115.0,647.0,1024.0,81.7,77.36,98.03
835.0,920.0,440.0,971.0,792.0,575.0,447.0,995.0,628.0,936.0,70.1,64.0,74.0
693.0,912.0,435.0,848.0,787.0,490.0,436.0,1005.0,618.0,905.0,54.3,67.0,84.0
903.0,1025.0,466.0,1005.0,823.0,576.0,459.0,1025.0,612.0,1028.0,75.8,67.99,83.6
960.0,938.0,455.0,938.0,754.0,530.0,419.0,1023.0,577.0,919.0,70.0,66.0,94.52
883.0,915.0,504.0,1010.0,853.0,579.0,470.0,1036.0,652.0,937.0,73.5,69.14,99.28
777.0,924.0,448.0,997.0,723.0,581.0,432.0,955.0,591.0,927.0,68.0,64.0,75.0
755.0,889.0,455.0,908.0,770.0,525.0,452.0,948.0,615.0,912.0,59.0,66.0,68.0
815.0,974.0,460.0,1010.0,800.0,605.0,500.0,1040.0,623.0,970.0,77.5,72.0,86.0
786.0,918.0,504.0,967.0,874.0,552.0,445.0,1119.0,624.0,973.0,69.2,65.4,84.99
875.0,1063.0,501.0,1018.0,836.0,597.0,494.0,1018.0,680.0,1053.0,78.5,68.0,82.0
1105.0,1159.0,588.0,1115.0,953.0,670.0,501.0,1171.0,743.0,1157.0,113.4,86.68,115.34
1109.0,1261.0,523.0,1081.0,759.0,514.0,464.0,941.0,641.0,1224.0,103.9,70.8,79.94
898.0,994.0,464.0,1023.0,759.0,586.0,451.0,1011.0,632.0,981.0,74.4,66.0,76.0
876.0,952.0,488.0,979.0,782.0,603.0,464.0,970.0,628.0,983.0,74.5,74.0,80.0
