Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle
53.0,173.0,97.0,43.0,Triangle,1.0972477064220183,0.0,0.0,1.0
34.0,178.0,96.0,42.0,Triangle,1.0870010235414533,0.0,0.0,1.0
25.3,179.0,85.0,42.5,Rectangle,1.1545945945945946,0.0,1.0,0.0
42.0,207.0,130.0,49.0,Triangle,1.051235132662397,0.0,0.0,1.0
21.0,197.0,95.0,46.0,Triangle,1.0788126919140226,0.0,0.0,1.0
35.6,170.0,69.0,42.0,Inverted Triangle,1.2369077306733167,1.0,0.0,0.0
35.8,173.0,90.0,43.0,Triangle,1.083248730964467,0.0,0.0,1.0
38.0,182.0,81.0,42.0,Rectangle,1.1406593406593406,0.0,1.0,0.0
21.0,187.0,75.0,43.0,Rectangle,1.1176470588235294,0.0,1.0,0.0
26.0,195.0,70.0,42.0,Triangle,1.0902612826603326,0.0,0.0,1.0
30.8,177.0,70.0,42.0,Rectangle,1.1612121212121211,0.0,1.0,0.0
20.8,176.0,73.0,41.5,Rectangle,1.1242460796139928,0.0,1.0,0.0
53.0,190.0,82.0,44.0,Rectangle,1.1132075471698113,0.0,1.0,0.0
39.0,207.0,125.0,48.0,Triangle,1.018918918918919,0.0,0.0,1.0
23.0,174.0,69.0,43.0,Inverted Triangle,1.2010443864229765,1.0,0.0,0.0
44.0,187.0,84.0,44.5,Rectangle,1.1120783460282917,0.0,1.0,0.0
25.9,176.0,65.0,41.5,Inverted Triangle,1.2682602921646746,1.0,0.0,0.0
47.6,180.0,89.0,43.5,Triangle,1.0852390852390852,0.0,0.0,1.0
