Subject Number,NL Subject,Acromial Ht Stand Lt (mm),Acromial Ht Stand Rt (mm),Acromion-Radiale Len Lt (mm),Acromion-Radiale Len Rt (mm),"Ankle Ht Lt (Malleolus, Lateral) (mm)","Ankle Ht Rt (Malleolus, Lateral) (mm)",Arm Inseam Lt (mm),Arm Inseam Rt (mm),Axilla Ht Lt (mm),Axilla Ht Rt (mm),Biacromial Brth (mm),Bicristale Brth (mm),Bigonial Brth (mm),Bispinous Brth (mm),Bitragion Brth (mm),Bitrochanteric Brth Stand (mm),Bustpoint Brth (mm),Cervicale Ht (mm),Chest Ht Stand (mm),Elbow Ht Stand Lt (mm),Elbow Ht Stand Rt (mm),Foot Brth Lt (mm),Foot Brth Rt (mm),Infraorbitale Ht Lt Stand (mm),Infraorbitale Ht Rt Stand (mm),Inter-pupillary Dst (mm),Interscye Dst Stand (mm),Knee Ht Stand Lt (mm),Knee Ht Stand Rt (mm),Malleolus Med Lt (mm),Malleolus Med Rt (mm),Neck Ht (mm),Radiale-Stylion Len Lt (mm),Radiale-Stylion Len Rt (mm),Sellion Supramenton (mm),Sleeve Outseam Len Lt (mm),Sleeve Outseam Len Rt (mm),Sphyrion Ht Lt (mm),Sphyrion Ht Rt (mm),Suprasternale Ht (mm),Trochanterion Ht Lt (mm),Trochanterion Ht Rt (mm),Waist Back (mm)
11001,1001,1429.49,1418.54,330.61,338.18,67.57,69.63,473.80,470.23,1335.69,1315.18,359.32,280.91,108.53,250.16,147.44,363.03,180.27,1466.80,1231.75,1125.29,1100.40,80.55,89.27,1581.62,1574.70,68.39,371.38,451.90,444.96,85.54,88.96,111.22,237.32,240.22,81.94,549.20,580.24,67.21,71.64,1378.98,902.71,887.85,443.53
11009,1009,1340.13,1339.80,279.64,292.02,64.42,66.33,379.22,374.89,1214.46,1204.45,386.53,356.87,112.78,324.95,156.47,386.72,218.29,1401.53,1175.08,1068.05,1066.65,115.09,110.25,1532.01,1535.47,66.09,406.95,455.98,459.43,68.76,88.43,111.44,230.29,230.66,100.83,503.09,513.93,39.98,53.79,1324.25,848.78,849.73,371.28
11017,1017,1334.32,1323.69,291.57,300.71,74.01,69.68,442.08,451.30,1233.07,1227.46,377.90,262.67,118.83,211.03,138.02,337.42,168.31,1362.78,1175.56,1063.06,1051.82,99.42,94.58,1476.94,1469.87,60.07,383.81,451.80,458.76,74.88,80.97,112.06,244.15,246.96,87.42,525.90,536.52,50.39,60.17,1306.27,863.18,880.49,371.62
11021,1021,1446.29,1422.58,331.29,318.69,70.36,66.94,486.07,506.88,1349.87,1355.88,372.39,273.79,116.53,238.30,140.21,386.30,187.28,1520.40,1292.14,1144.24,1125.39,100.99,99.76,1624.71,1624.70,60.18,334.23,474.39,481.29,89.87,88.28,128.21,243.40,255.65,91.57,575.77,562.80,69.05,64.03,1429.00,947.59,923.17,464.17
11024,1024,1503.84,1482.05,323.12,333.77,62.93,64.89,438.51,458.56,1355.70,1358.51,465.52,330.57,135.59,236.10,161.78,377.77,231.22,1591.04,1324.90,1192.29,1164.17,110.88,112.09,1712.46,1712.87,66.06,462.13,513.86,513.88,87.56,90.70,89.87,280.11,271.16,94.33,595.98,590.92,52.99,59.53,1525.79,956.91,987.83,469.45
11025,1025,1517.64,1505.15,318.59,319.15,78.42,70.71,476.48,469.92,1395.84,1380.62,447.77,340.65,124.85,263.96,162.29,357.28,206.22,1578.01,1347.79,1210.96,1204.69,117.51,111.90,1708.09,1704.20,62.71,443.87,507.70,511.17,90.09,93.46,111.64,275.52,283.33,118.72,588.62,593.48,59.02,65.75,1508.75,984.86,966.08,499.81
11026,1026,1434.51,1443.34,316.22,320.51,71.66,70.56,434.85,430.61,1315.17,1336.64,412.14,324.82,142.31,258.61,155.59,397.36,174.03,1503.41,1254.72,1144.20,1147.25,105.26,91.75,1608.09,1611.56,70.27,414.06,467.81,467.76,78.65,87.45,97.75,255.51,253.75,97.28,544.85,566.65,57.84,59.74,1445.31,906.55,913.70,440.66
11029,1029,1422.12,1396.15,329.82,317.44,73.54,71.62,459.44,400.58,1294.10,1268.59,398.38,355.93,146.98,332.78,151.94,404.79,260.34,1485.31,1221.40,1108.26,1094.31,118.98,115.48,1569.90,1574.94,64.61,399.76,480.77,487.68,80.29,87.41,91.73,277.42,252.39,97.47,571.94,560.07,51.35,63.17,1417.33,883.22,917.64,426.13
11031,1031,1303.65,1299.55,285.92,298.91,68.46,60.01,439.83,455.92,1232.23,1237.15,373.34,326.04,116.11,254.27,144.27,394.79,190.03,1352.46,1149.06,1037.88,1031.01,99.72,101.08,1457.37,1460.83,66.22,392.02,427.58,427.55,76.00,79.06,118.46,233.41,240.27,87.27,504.77,527.18,51.63,54.80,1298.02,834.68,815.12,359.64
11033,1033,1451.17,1442.96,307.59,314.68,77.78,72.37,482.73,492.93,1352.72,1362.12,438.07,351.82,131.69,249.55,152.88,364.79,245.76,1525.35,1297.41,1165.42,1150.36,94.27,106.28,1646.61,1654.26,65.12,439.83,500.02,500.02,86.48,91.72,111.46,277.92,266.55,95.79,568.40,574.43,65.64,70.94,1453.36,933.90,912.76,474.96
11035,1035,1433.34,1426.19,322.68,328.47,69.92,55.48,492.89,472.79,1341.56,1332.34,395.28,278.20,115.84,202.12,143.28,353.88,186.13,1461.39,1292.98,1111.19,1112.22,83.59,89.52,1615.15,1615.15,72.01,394.90,477.63,481.05,78.21,80.48,150.71,269.25,253.32,90.08,567.24,566.80,61.63,63.16,1421.17,922.41,910.29,383.22
11038,1038,1299.46,1261.53,301.46,279.65,74.40,66.42,412.76,410.35,1199.25,1165.75,378.55,372.18,117.68,296.36,143.07,381.20,236.54,1340.20,1045.17,1010.37,990.08,114.86,93.93,1426.23,1429.70,62.20,379.79,425.50,435.85,68.62,65.51,96.93,224.56,245.63,91.37,516.85,504.95,57.44,48.19,1259.96,803.88,809.17,374.62
11040,1040,1435.57,1433.00,325.75,336.33,77.18,78.69,448.63,450.88,1315.75,1306.48,423.65,395.78,141.57,303.40,153.45,396.22,274.76,1507.58,1270.53,1125.39,1120.32,96.48,97.40,1635.25,1637.81,73.00,471.14,478.68,482.17,97.33,103.20,89.08,243.31,257.97,92.60,563.46,572.87,76.61,82.42,1423.06,878.29,832.71,471.24
11042,1042,1371.14,1368.27,297.19,309.86,62.72,73.25,428.42,419.49,1280.93,1258.51,389.31,317.15,103.09,254.18,140.12,375.74,189.83,1441.14,1184.13,1094.04,1063.19,102.89,101.54,1565.19,1561.73,62.10,381.92,457.45,464.38,71.85,80.30,72.38,221.32,239.84,97.80,508.67,529.00,51.09,62.97,1357.36,848.39,841.82,403.35
11049,1049,1403.90,1389.45,336.29,356.16,64.71,87.80,462.40,446.89,1291.96,1266.67,393.26,408.46,131.68,347.20,156.77,397.93,238.03,1473.67,1210.56,1085.25,1065.36,98.17,101.24,1584.68,1584.68,76.03,415.61,476.03,472.55,86.91,88.13,52.03,244.22,227.58,100.89,561.38,562.32,76.51,74.27,1395.89,855.33,875.75,401.19
11050,1050,1473.74,1486.96,332.93,343.94,82.62,80.37,445.93,443.77,1322.87,1343.81,417.91,353.45,143.25,,154.93,365.75,245.61,1524.29,1297.38,1148.71,1164.56,95.52,101.25,1663.06,1668.17,70.43,397.82,498.92,498.92,104.05,111.04,89.03,268.37,260.77,120.44,613.88,586.96,90.17,93.71,1449.98,917.83,911.77,498.23
11051,1051,1455.76,1427.59,342.63,337.58,70.33,76.53,452.01,461.36,1338.01,1338.23,387.67,352.48,131.84,307.01,158.30,418.52,224.44,1507.59,1271.41,1130.01,1120.63,94.91,97.95,1608.92,1607.48,62.72,361.30,478.80,485.74,78.75,89.21,87.23,239.56,230.39,90.16,589.51,577.33,54.41,64.96,1439.51,890.83,923.77,416.38
11052,1052,1467.52,1454.66,311.25,323.57,81.40,79.04,447.44,451.63,1361.81,1353.62,389.26,342.84,140.41,282.59,158.01,362.87,238.54,1515.19,1275.52,1189.44,1174.84,90.30,90.86,1618.44,1620.47,70.62,382.26,489.80,486.33,84.34,87.11,73.25,252.77,230.56,117.19,533.62,551.04,63.43,69.78,1414.09,908.69,913.14,497.05
11054,1054,1449.96,1431.59,322.66,316.87,74.71,68.10,409.69,409.67,1308.85,1292.73,381.13,330.94,115.86,311.00,144.85,393.09,218.24,1470.80,1195.04,1149.78,1125.06,92.76,94.67,1589.82,1593.28,70.10,392.57,455.86,462.80,77.14,79.37,104.57,228.47,240.34,99.05,549.39,542.84,59.75,66.96,1409.74,903.45,880.72,414.20
11057,1057,1395.87,1396.15,324.65,310.87,72.72,67.53,436.80,429.84,1289.77,1285.34,355.80,312.76,106.24,260.10,138.39,360.46,184.14,1436.98,1217.26,1081.38,1101.91,104.87,103.98,1587.93,1587.93,68.00,358.42,453.32,463.67,75.28,87.07,118.45,222.81,228.15,100.74,551.21,529.78,68.37,69.75,1373.17,871.16,874.98,419.39
11074,1074,1462.67,1470.31,306.37,327.34,72.30,67.71,444.07,463.75,1341.40,1353.32,378.22,294.14,126.72,233.99,149.66,323.00,221.39,1513.59,1307.04,1164.25,1165.36,88.11,98.94,1632.65,1632.33,71.17,387.50,502.08,491.70,86.96,86.76,111.22,248.19,258.77,86.94,560.53,577.81,62.73,65.97,1440.44,969.48,939.18,437.06
11079,1079,1227.01,1234.50,273.46,274.42,64.18,61.70,357.04,370.17,1116.18,1141.86,380.88,376.18,118.57,301.20,140.51,397.49,228.02,1305.37,1087.29,981.91,976.91,83.27,82.74,1392.13,1388.67,62.62,409.19,404.68,401.21,62.00,66.38,73.55,208.77,222.72,97.41,492.65,506.06,46.80,55.99,1257.03,767.30,753.16,370.85
11088,1088,1280.16,1275.76,299.95,311.72,67.93,68.40,403.71,409.46,1199.61,1187.17,382.08,373.57,124.67,327.36,142.44,450.84,278.31,1343.67,1092.59,1001.02,990.93,93.09,100.08,1449.31,1445.85,62.24,414.81,429.10,429.10,73.48,76.49,98.23,210.19,225.83,86.65,493.81,507.77,53.05,59.16,1289.97,800.74,796.61,383.14
11092,1092,1295.39,1277.80,284.21,274.03,61.39,63.92,429.72,443.98,1214.42,1216.84,386.54,305.59,110.43,235.52,137.57,370.84,192.22,1363.84,1154.35,1034.08,1004.91,78.47,83.64,1474.85,1480.00,62.33,376.35,421.69,421.68,70.15,80.08,100.39,231.76,241.73,97.08,499.54,500.65,52.18,55.82,1289.50,812.92,806.17,384.68
11096,1096,1432.71,1434.39,325.48,324.48,70.79,66.01,432.07,461.01,1308.61,1311.41,375.21,307.43,115.31,226.14,137.57,357.84,212.20,1482.97,1239.62,1115.52,1134.33,84.47,86.82,1579.11,1576.86,56.28,397.59,454.18,457.64,77.31,78.75,90.87,227.35,261.07,94.35,543.32,554.96,64.05,68.36,1393.79,907.66,899.66,450.96
11098,1098,1438.42,1421.07,344.19,327.06,69.44,60.07,487.65,452.28,1319.24,1308.35,360.16,278.54,113.01,234.38,141.67,361.43,215.38,1481.26,1252.85,1116.75,1109.25,84.57,84.80,1595.86,1592.40,66.37,342.14,476.84,473.38,76.93,69.97,108.32,265.19,243.69,93.56,589.05,560.56,63.07,52.65,1412.28,913.05,923.38,395.09
11099,1099,1440.75,1445.63,322.80,334.49,68.20,68.64,468.45,492.56,1344.58,1358.46,408.85,301.94,116.70,230.03,142.45,352.36,228.98,1487.87,1291.63,1122.73,1143.69,106.60,105.19,1616.97,1620.52,69.07,389.54,490.30,490.30,81.21,88.00,114.66,255.86,266.48,96.18,587.45,596.98,60.31,56.82,1430.75,900.17,895.96,451.55
11105,1105,1203.19,1200.87,260.09,272.18,63.08,56.09,366.21,381.25,1107.34,1109.92,354.85,262.28,109.68,245.37,137.21,353.51,180.41,1266.87,1055.45,945.95,950.73,96.32,93.73,1391.52,1384.59,60.51,364.30,397.37,400.86,57.50,68.97,85.05,203.17,208.50,87.55,465.89,472.58,44.69,47.32,1221.81,776.35,760.75,356.31
11106,1106,1284.51,1287.71,279.43,285.67,68.60,54.35,377.86,402.37,1159.31,1177.00,346.85,299.95,115.03,267.97,136.53,374.62,192.13,1325.25,1095.04,1029.11,1053.45,87.91,85.70,1440.29,1438.08,69.02,378.30,417.66,414.19,64.49,75.70,75.03,219.84,227.10,80.55,491.20,496.59,44.76,50.69,1251.09,812.43,810.83,371.27
11112,1112,1339.68,1321.26,269.23,274.06,66.95,59.39,384.26,412.25,1237.31,1230.76,369.39,328.13,114.26,260.28,152.81,375.98,214.26,1373.11,1137.13,1075.67,1051.70,89.37,87.94,1504.42,1493.94,60.79,417.36,410.23,413.71,75.24,75.51,97.15,224.12,242.75,93.61,498.31,500.79,55.65,51.26,1306.88,786.76,781.02,401.72
11116,1116,1387.61,1370.67,309.38,304.52,63.78,61.02,441.40,440.50,1296.28,1283.37,385.24,280.13,109.07,248.10,139.96,357.99,174.03,1443.34,1220.35,1089.76,1100.11,94.70,99.16,1583.26,1580.62,59.10,374.16,456.07,456.04,76.98,81.75,98.03,237.36,244.30,97.70,536.19,536.26,56.04,60.96,1386.64,891.60,913.71,395.00
11124,1124,1533.07,1522.32,321.76,341.83,78.42,83.03,430.66,438.37,1389.22,1374.75,420.16,369.41,137.25,324.80,154.17,450.28,224.18,1593.14,1318.94,1216.26,1205.98,96.81,97.62,1721.39,1713.87,64.76,463.55,505.46,515.87,85.03,86.26,99.28,253.61,254.03,83.38,569.13,590.32,62.29,58.54,1544.14,992.67,985.06,377.75
11127,1127,1359.44,1368.15,291.81,319.53,66.31,57.33,420.00,419.49,1276.10,1259.77,368.37,303.10,108.60,277.76,157.24,365.57,212.54,1414.78,1175.95,1064.84,1069.08,88.79,93.87,1527.55,1522.36,63.93,384.12,441.45,437.97,80.24,71.75,78.78,220.54,223.57,80.37,518.25,528.30,55.55,44.04,1326.71,843.87,850.27,425.92
11128,1128,1420.77,1408.44,303.89,316.84,64.51,58.39,417.21,439.51,1306.56,1303.64,379.54,325.77,111.84,271.03,152.07,392.01,200.05,1462.62,1230.48,1121.63,1113.81,78.93,94.75,1611.54,1615.01,70.15,372.21,437.34,444.30,74.28,84.30,104.03,228.54,234.67,86.96,533.66,542.99,56.44,60.05,1400.26,832.38,839.74,405.34
11131,1131,1628.08,1639.46,346.92,349.71,75.64,81.24,506.22,489.74,1496.80,1490.20,425.20,323.44,123.57,237.01,151.91,361.29,240.43,1696.96,1425.80,1292.51,1312.27,92.28,103.28,1822.58,1817.37,71.99,386.51,543.44,553.83,89.98,92.40,112.16,294.85,302.58,93.55,629.89,634.60,59.92,63.66,1588.76,1069.02,1074.66,562.46
11137,1137,1488.53,1466.75,327.40,326.00,78.00,64.64,443.21,453.42,1347.80,1333.42,432.82,333.01,123.40,245.21,149.74,365.57,250.94,1528.98,1312.48,1178.27,1155.65,106.21,100.04,1680.82,1686.73,63.02,448.14,510.56,503.64,85.48,89.25,121.27,259.58,267.77,98.84,592.76,589.88,59.78,68.47,1492.74,931.79,965.91,471.59
11141,1141,1518.53,1516.75,330.49,341.13,74.23,85.88,471.42,455.75,1397.03,1385.92,395.18,321.39,120.66,287.23,148.44,379.95,219.63,1584.52,1379.64,1188.88,1189.37,93.55,100.23,1700.40,1698.62,65.30,423.50,500.26,500.25,98.23,94.82,104.18,263.11,253.80,79.68,591.96,588.68,79.52,74.04,1497.74,1013.69,958.12,502.65
11142,1142,1506.66,1514.17,329.67,358.07,80.02,62.65,506.00,495.30,1413.37,1399.46,422.29,323.74,124.18,237.37,155.30,362.18,224.00,1595.82,1365.03,1187.96,1166.89,96.10,96.01,1728.73,1722.20,62.10,385.67,506.70,512.11,96.28,98.08,149.41,284.67,263.74,106.96,589.44,629.40,75.55,70.36,1531.37,942.62,923.40,503.96
11144,1144,1424.10,1408.19,298.99,304.26,72.22,64.18,422.93,423.32,1314.09,1293.33,352.73,305.35,111.09,243.23,146.81,363.08,229.55,1467.05,1233.86,1126.97,1109.99,90.62,88.43,1576.81,1573.34,62.10,366.95,452.13,459.07,75.74,87.79,100.47,239.77,241.78,87.14,528.08,533.89,54.97,60.08,1393.22,890.68,873.62,467.88
11146,1146,1384.66,1362.27,312.44,300.58,68.90,59.15,430.14,432.42,1281.93,1284.55,385.59,307.18,116.12,267.81,154.60,354.68,218.28,1423.42,1193.10,1073.47,1081.16,92.47,98.00,1548.00,1546.47,63.97,407.66,439.62,446.53,78.20,88.77,111.43,224.19,222.20,93.91,531.64,507.84,64.62,67.98,1355.96,855.66,853.37,429.55
11148,1148,1335.12,1339.97,313.45,293.96,73.39,64.21,437.22,446.67,1239.90,1260.91,370.89,284.73,116.88,202.37,138.38,365.65,228.62,1392.70,1188.18,1029.61,1064.47,87.67,88.09,1538.97,1541.62,47.80,346.20,443.57,447.08,80.38,85.16,105.93,219.47,231.35,96.76,528.77,521.24,49.31,55.38,1340.65,853.88,853.10,434.50
11149,1149,1283.35,1255.42,297.28,287.29,66.23,60.32,400.06,418.32,1184.11,1168.25,425.72,315.51,126.66,258.76,151.11,355.84,225.03,1371.31,1115.03,995.62,973.73,98.85,96.82,1479.62,1481.89,55.12,432.50,422.21,418.77,80.91,84.90,91.42,216.10,225.38,98.30,503.31,494.88,55.37,65.91,1277.87,782.97,785.65,493.38
11150,1150,1311.52,1317.58,269.87,263.22,70.95,72.98,392.23,368.93,1208.94,1210.47,399.62,391.78,132.25,312.07,140.71,442.63,234.05,1382.17,1157.28,1076.45,1076.02,91.23,92.23,1486.33,1489.80,62.16,409.93,446.90,443.44,81.88,85.71,83.54,208.07,221.26,90.26,464.87,475.26,54.21,58.00,1323.51,844.20,844.08,381.16
11154,1154,1392.60,1386.98,289.79,288.36,68.87,65.12,426.64,436.22,1288.05,1290.18,371.96,294.42,123.61,250.79,143.52,360.22,202.08,1446.91,1250.26,1104.05,1103.62,91.87,93.92,1562.03,1562.03,76.21,362.31,456.21,463.12,81.04,85.92,107.90,239.79,247.44,99.36,525.78,517.78,60.74,59.11,1394.03,883.50,869.44,402.45
11157,1157,1360.73,1345.44,318.48,299.71,53.94,57.18,436.27,417.35,1261.54,1239.58,360.89,318.00,114.71,264.16,158.94,391.54,172.99,1411.84,1168.25,1067.14,1062.58,94.60,95.08,1527.68,1525.15,59.10,407.88,441.94,448.84,87.93,85.38,85.74,219.64,236.00,95.64,531.44,540.36,65.91,61.13,1334.68,835.81,829.78,391.95
11159,1159,1329.27,1321.35,290.75,305.87,74.10,66.37,383.80,405.47,1203.95,1192.45,436.08,377.50,131.40,270.87,,376.12,211.40,1396.36,1172.39,1040.16,1030.90,104.49,95.93,1489.05,1487.62,70.69,461.97,440.32,440.28,89.23,87.83,75.49,233.67,256.19,98.50,522.39,535.47,57.37,60.75,1316.13,792.55,817.13,464.65
11160,1160,1320.17,1312.14,282.08,275.35,59.41,62.12,416.36,400.29,1211.42,1203.57,372.32,277.02,114.36,258.18,150.12,336.16,164.03,1370.05,1173.24,1039.69,1052.53,79.13,85.58,1478.08,1485.01,72.40,362.02,448.61,438.23,71.16,78.08,101.68,241.64,243.79,83.74,518.39,505.36,54.81,53.83,1322.21,896.46,902.29,400.55
11161,1161,1359.11,1346.80,301.13,287.29,69.73,63.97,397.39,425.10,1255.52,1272.36,365.03,280.84,112.51,194.82,149.97,364.90,180.27,1386.77,1186.45,1068.88,1083.46,90.67,86.21,1514.33,1519.05,60.96,364.36,430.80,430.79,91.05,87.69,105.71,205.16,211.56,101.83,515.39,490.97,67.50,70.35,1316.43,806.79,828.88,392.11
11162,1162,1386.19,1379.68,288.86,293.06,67.00,70.30,449.86,442.10,1297.62,1296.18,415.89,303.88,115.90,224.15,152.96,361.28,196.89,1470.70,1207.41,1110.41,1104.43,91.76,90.31,1572.99,1574.56,60.02,413.93,459.28,473.13,75.69,84.22,87.68,232.04,233.49,99.13,511.05,519.44,61.74,63.43,1373.64,884.98,892.47,452.88
11165,1165,1360.14,1336.67,317.51,321.86,69.95,68.28,418.54,415.30,1252.73,1215.04,374.78,376.30,127.33,312.95,155.02,381.45,248.14,1408.22,1160.48,1052.68,1036.55,92.59,91.60,1517.27,1510.34,72.44,404.48,441.75,445.19,63.58,74.42,94.20,236.21,240.20,94.15,522.59,529.77,45.02,59.66,1340.58,787.36,825.29,403.62
11167,1167,1325.39,1303.32,310.03,313.99,67.20,66.08,407.84,420.56,1224.00,1194.01,367.99,310.41,118.24,271.77,146.71,382.08,208.87,1351.28,1123.83,1041.48,1026.36,89.74,84.73,1477.17,1473.71,66.14,414.05,436.73,433.22,71.77,71.76,96.24,218.11,226.70,90.09,522.82,521.49,54.37,47.52,1286.65,824.85,837.79,351.24
11169,1169,1287.03,1304.27,295.70,305.06,76.47,76.70,420.17,399.14,1198.46,1185.08,377.31,298.79,118.07,261.52,162.49,381.56,230.68,1373.86,1119.41,1018.06,1011.08,86.78,94.74,1445.05,1438.12,60.50,333.88,435.26,435.28,76.90,75.29,111.64,216.76,223.37,89.03,500.76,526.17,59.60,56.88,1292.66,838.92,820.03,421.87
11173,1173,1503.03,1486.29,349.86,371.60,80.61,74.13,486.25,484.87,1380.39,1360.45,383.28,344.82,117.42,266.58,154.08,396.61,194.27,1532.05,1304.04,1160.33,1134.48,89.29,97.72,1667.79,1667.79,72.02,368.40,499.82,503.27,96.01,91.58,142.70,274.34,258.00,93.28,592.12,588.83,78.70,74.26,1472.09,925.39,935.85,440.33
11174,1174,1323.37,1309.32,301.77,294.85,67.79,65.59,465.21,418.05,1219.83,1219.43,331.33,346.37,123.85,293.82,142.86,377.70,233.41,1347.34,1174.61,1040.32,1026.75,85.06,92.75,1483.06,1479.53,62.65,335.04,429.31,429.35,70.00,80.26,111.31,275.93,224.78,92.79,528.57,521.01,52.71,56.01,1295.94,825.93,836.96,375.63
11175,1175,1345.77,1347.42,286.22,281.39,73.84,71.60,408.51,414.94,1247.78,1251.74,402.77,316.17,118.30,276.14,148.65,393.45,234.03,1388.04,1146.94,1060.05,1069.59,98.70,98.20,1538.41,1535.00,64.37,401.84,438.89,442.36,77.08,75.32,90.84,233.55,238.87,98.89,499.63,503.14,53.02,54.53,1349.63,843.03,857.55,393.64
11179,1179,1412.34,1410.88,315.46,338.77,67.94,69.86,449.04,447.18,1302.85,1281.78,354.11,351.81,125.56,275.01,146.61,392.74,212.16,1473.26,1242.83,1108.47,1106.92,87.42,92.52,1578.87,1578.87,68.13,378.27,465.25,472.19,79.76,78.37,85.03,249.50,256.56,91.98,552.84,579.52,55.54,60.18,1386.64,891.84,921.96,406.29
11182,1182,1340.89,1349.11,308.57,306.45,74.62,70.99,405.43,401.26,1226.11,1208.77,361.27,339.65,123.57,316.62,147.56,364.41,236.18,1379.84,1119.84,1066.74,1065.45,89.01,95.31,1499.90,1500.90,61.29,395.07,455.00,451.92,76.78,78.64,104.48,221.71,245.56,100.68,533.04,525.80,59.48,64.79,1313.85,835.52,846.91,339.59
11183,1183,1493.78,1473.52,337.25,341.16,80.36,77.27,497.42,479.17,1397.63,1373.76,471.30,279.21,124.92,281.13,153.18,343.82,227.36,1553.11,1362.99,1174.42,1162.28,94.12,95.42,1709.65,1709.66,64.04,410.35,538.15,534.70,95.44,103.77,132.60,256.71,254.98,107.59,593.15,596.87,69.05,82.98,1501.85,977.84,985.03,460.96
11184,1184,1231.36,1241.61,256.04,270.56,65.44,67.85,356.09,347.57,1125.14,1118.62,401.16,329.81,129.82,313.02,156.36,388.68,262.32,1304.93,1067.33,981.98,999.03,93.07,89.59,1399.97,1399.97,72.01,425.13,411.20,411.20,82.95,82.28,110.44,207.11,194.80,84.02,462.86,458.76,58.62,64.95,1233.74,769.28,781.22,397.99
11190,1190,1410.36,1387.60,352.04,310.48,66.24,70.88,429.75,446.54,1289.20,1284.89,324.82,307.06,115.12,280.18,150.05,380.70,219.06,1440.04,1221.51,1093.22,1091.10,91.63,89.98,1564.52,1557.60,64.38,339.08,456.29,459.75,75.59,84.82,145.42,221.21,236.72,90.80,564.85,533.22,65.20,70.96,1377.48,880.98,876.61,401.84
11192,1192,1352.50,1349.00,312.51,304.16,63.46,65.95,392.59,395.91,1222.87,1215.12,374.42,352.15,115.71,263.01,151.51,396.77,214.57,1399.28,1148.54,1078.54,1064.17,98.29,96.78,1515.76,1512.28,64.36,435.23,453.65,450.21,68.19,74.41,97.33,206.80,228.48,104.03,510.68,515.78,43.99,50.16,1342.56,880.84,865.99,360.99
11197,1197,1272.56,1279.22,293.02,297.96,67.17,61.06,407.37,397.31,1176.15,1169.09,373.76,383.06,118.22,286.03,152.78,481.10,256.38,1340.90,1074.80,998.82,1004.11,81.48,83.68,1449.51,1448.94,62.10,432.89,396.72,403.63,73.19,76.65,122.00,215.99,227.17,88.22,498.32,510.59,55.89,60.36,1258.42,770.65,770.92,396.97
11202,1202,1306.80,1294.83,309.83,281.77,69.44,69.51,383.00,392.85,1190.33,1190.42,326.56,311.81,123.30,289.95,146.64,348.80,234.46,1347.12,1069.37,1041.09,1037.35,89.14,93.57,1419.25,1412.32,60.70,348.94,433.89,437.32,64.30,67.51,118.22,194.92,222.75,84.92,502.26,491.28,52.78,53.66,1251.30,813.63,828.74,377.50
11205,1205,1494.41,1479.15,315.97,320.54,72.65,80.42,460.58,476.93,1376.64,1357.43,446.22,368.92,131.58,191.09,,372.96,250.54,1571.04,1337.68,1200.31,1188.43,107.62,107.38,1711.93,1711.74,71.96,374.44,514.57,514.58,90.71,101.28,71.28,264.30,285.67,100.71,563.74,583.79,59.58,73.56,1490.06,980.72,973.13,510.79
11206,1206,1506.04,1476.25,337.72,332.57,78.49,80.02,460.18,482.41,1366.99,1351.04,402.03,332.65,125.90,275.50,153.86,348.21,246.72,1549.85,1293.31,1179.09,1155.80,96.86,101.95,1689.85,1688.26,66.34,396.08,493.43,493.46,94.66,104.20,76.27,265.17,275.86,117.70,593.83,594.95,74.92,83.41,1461.34,879.97,870.44,506.29
11207,1207,1671.77,1675.92,352.58,367.95,88.07,83.78,453.58,446.12,1514.92,1498.04,441.47,384.65,136.29,275.24,159.10,427.74,256.81,1743.68,1449.45,1317.77,1316.25,99.84,111.83,1876.64,1876.06,84.13,442.14,572.86,583.25,108.18,109.10,81.58,298.94,303.49,107.48,631.81,630.24,91.77,95.25,1650.26,993.66,1023.03,597.61
11213,1213,1404.67,1391.89,311.85,333.37,67.93,65.47,424.33,418.93,1268.33,1247.28,430.76,375.74,133.30,263.26,160.57,373.82,250.17,1456.95,1206.75,1108.45,1081.85,101.99,103.97,1573.83,1580.76,76.31,452.18,459.37,462.83,80.86,86.56,79.81,251.32,247.39,91.81,560.60,578.90,63.41,72.71,1379.88,861.20,849.85,487.01
11214,1214,1374.33,1377.34,306.60,315.70,71.12,57.85,451.29,469.26,1283.98,1293.93,346.92,286.96,116.31,250.05,144.43,348.80,190.04,1426.62,1221.94,1074.16,1093.45,91.74,88.94,1535.82,1530.27,58.59,360.16,435.87,442.79,72.55,84.80,88.67,242.13,249.09,93.72,543.51,549.89,58.65,57.09,1344.95,883.92,904.35,406.65
11217,1217,1427.33,1442.77,302.77,306.31,65.93,64.98,466.03,480.28,1332.71,1335.25,359.47,272.43,109.27,239.22,144.60,338.93,197.48,1475.59,1283.22,1128.98,1147.38,102.08,96.34,1645.23,1643.53,72.28,340.08,477.93,477.93,80.98,80.57,71.28,251.60,274.47,99.21,556.86,564.36,65.67,65.61,1411.45,922.40,939.55,385.10
11218,1218,1323.58,1303.48,296.45,298.08,73.03,83.85,398.80,401.46,1216.75,1196.18,432.55,366.34,130.14,327.04,150.08,411.67,264.97,1405.06,1081.89,1024.94,1007.58,96.16,98.75,1496.29,1497.60,60.60,427.00,442.17,438.68,82.22,83.17,49.76,224.62,235.37,93.90,518.66,510.12,65.38,59.60,1307.09,866.26,852.08,406.51
