Subject Number,NL Subject,Acromial Ht Stand Lt (mm),Acromial Ht Stand Rt (mm),Acromion-Radiale Len Lt (mm),Acromion-Radiale Len Rt (mm),"Ankle Ht Lt (Malleolus, Lateral) (mm)","Ankle Ht Rt (Malleolus, Lateral) (mm)",Arm Inseam Lt (mm),Arm Inseam Rt (mm),Axilla Ht Lt (mm),Axilla Ht Rt (mm),Biacromial Brth (mm),Bicristale Brth (mm),Bigonial Brth (mm),Bispinous Brth (mm),Bitragion Brth (mm),Bitrochanteric Brth Stand (mm),Bustpoint Brth (mm),Cervicale Ht (mm),Chest Ht Stand (mm),Elbow Ht Stand Lt (mm),Elbow Ht Stand Rt (mm),Foot Brth Lt (mm),Foot Brth Rt (mm),Infraorbitale Ht Lt Stand (mm),Infraorbitale Ht Rt Stand (mm),Inter-pupillary Dst (mm),Interscye Dst Stand (mm),Knee Ht Stand Lt (mm),Knee Ht Stand Rt (mm),Malleolus Med Lt (mm),Malleolus Med Rt (mm),Neck Ht (mm),Radiale-Stylion Len Lt (mm),Radiale-Stylion Len Rt (mm),Sellion Supramenton (mm),Sleeve Outseam Len Lt (mm),Sleeve Outseam Len Rt (mm),Sphyrion Ht Lt (mm),Sphyrion Ht Rt (mm),Suprasternale Ht (mm),Trochanterion Ht Lt (mm),Trochanterion Ht Rt (mm),Waist Back (mm)
15836,5836,1261.74,1243.04,283.46,267.19,49.88,49.33,407.81,408.93,1164.65,1156.59,364.89,292.60,116.04,279.84,135.60,366.60,206.01,1311.67,1079.66,999.92,1002.01,96.89,91.75,1418.69,1421.16,65.20,367.55,412.53,417.44,69.34,71.06,91.41,213.33,230.72,93.63,492.00,490.90,40.67,46.99,1239.57,785.94,792.20,376.88
15837,5837,1427.08,1423.02,329.23,329.00,63.21,68.66,473.10,468.52,1331.17,1328.27,428.64,343.25,128.72,372.23,151.97,461.11,225.07,1495.88,1250.28,1095.22,1103.64,101.02,114.53,1610.57,1608.57,68.03,427.04,457.66,456.71,90.28,84.03,124.20,242.88,247.17,90.51,566.82,554.57,63.57,61.78,1426.99,877.76,884.73,428.69
15838,5838,1349.76,1333.03,316.88,312.65,67.28,59.23,461.92,455.29,1267.79,1254.30,353.41,294.83,111.88,227.37,146.64,359.27,198.00,1379.44,1191.75,1041.19,1034.31,81.33,78.33,1506.18,1508.23,64.28,332.17,446.16,439.25,78.97,84.01,93.73,230.05,233.75,98.00,537.79,528.41,58.37,59.40,1319.00,845.51,836.49,385.02
15840,5840,1368.62,1345.17,325.56,332.99,63.01,74.97,434.77,444.29,1250.60,1241.26,365.46,311.31,113.81,293.45,143.43,388.66,219.43,1406.37,1188.60,1061.90,1046.91,90.72,101.54,1514.14,1514.14,68.00,395.44,457.27,457.24,84.12,92.65,88.63,223.19,244.31,101.60,563.80,553.86,67.34,75.32,1337.52,876.61,867.99,391.88
15841,5841,1299.61,1305.15,300.37,294.19,63.28,64.31,377.86,371.97,1174.83,1183.07,369.23,328.21,128.80,336.29,147.03,383.56,216.45,1344.22,1153.19,1013.85,1018.54,96.38,99.01,1453.40,1454.63,65.95,424.93,426.24,429.74,70.92,72.05,87.82,221.80,234.94,90.26,514.19,513.01,53.63,44.33,1291.84,821.97,822.15,379.13
15842,5842,1489.43,1500.40,335.00,332.83,60.52,69.96,465.62,469.94,1385.92,1384.52,337.96,287.80,111.13,269.69,155.16,394.45,202.61,1541.24,1334.01,1182.86,1192.69,92.40,93.45,1687.07,1694.52,61.96,349.33,512.49,515.96,75.46,86.68,97.62,247.27,268.94,101.99,577.81,581.15,50.71,55.50,1483.22,981.05,992.95,384.72
15843,5843,1410.42,1411.04,331.67,331.32,65.77,64.86,406.22,424.88,1283.37,1305.07,375.99,324.67,113.09,291.95,151.14,377.77,200.12,1470.61,1233.15,1077.93,1094.00,102.68,95.93,1583.03,1582.38,60.99,420.13,469.56,466.09,77.13,83.77,94.12,211.21,235.68,94.58,548.29,552.06,50.04,49.13,1378.66,923.10,892.26,424.36
15845,5845,1443.84,1439.21,326.23,340.40,70.93,81.67,424.43,455.88,1312.71,1316.03,388.29,342.88,125.38,293.18,144.33,380.20,232.90,1481.87,1264.40,1123.91,1110.83,92.64,99.64,1621.01,1617.54,66.12,388.67,484.22,484.23,83.92,89.41,149.31,232.79,251.60,86.69,560.40,589.91,66.50,58.23,1440.88,936.44,955.54,391.52
15846,5846,1330.57,1354.42,282.31,266.30,55.85,68.96,451.02,423.29,1257.43,1273.30,339.35,261.75,108.39,247.09,130.58,321.09,192.44,1392.45,1194.88,1074.37,1118.98,95.21,86.72,1517.15,1527.56,63.67,352.13,446.90,446.83,81.26,86.20,83.58,241.31,258.17,87.73,517.06,516.24,47.57,51.54,1333.65,869.38,880.00,360.31
15847,5847,1422.05,1412.78,302.81,295.59,65.36,69.79,400.77,409.34,1301.16,1304.02,370.74,307.15,107.02,277.90,146.70,398.59,192.01,1479.68,1224.78,1125.37,1126.34,87.36,95.76,1605.83,1602.36,62.10,377.22,482.05,485.48,79.00,89.57,137.20,223.08,240.27,94.18,539.56,526.87,47.70,58.39,1415.38,936.14,938.71,428.49
15848,5848,1371.88,1360.52,311.24,319.53,66.80,63.87,404.91,416.77,1241.69,1231.13,384.62,330.15,120.30,287.62,159.68,406.50,210.20,1432.29,1200.26,1064.67,1069.07,88.92,97.58,1536.32,1539.79,66.51,408.94,455.50,448.55,86.86,82.14,80.99,228.50,236.81,97.43,541.23,543.41,68.85,57.89,1344.11,888.80,868.64,403.20
15851,5851,1374.22,1381.83,314.64,296.07,60.97,62.91,430.99,420.51,1258.06,1262.55,318.38,304.51,111.52,275.91,147.00,382.66,191.00,1420.17,1196.00,1085.22,1122.96,84.34,95.82,1525.09,1525.09,68.00,360.79,446.98,450.45,82.18,78.87,116.56,235.54,255.14,100.51,534.28,535.67,60.18,58.08,1346.74,903.49,925.50,375.08
15853,5853,1402.47,1382.33,320.29,320.48,64.84,67.40,426.27,427.88,1299.81,1275.85,360.30,346.91,114.64,244.69,144.82,408.90,195.49,1422.15,1214.44,1095.22,1078.98,95.79,105.72,1542.07,1539.07,61.08,391.48,452.76,448.76,80.82,90.94,126.21,221.12,230.81,98.76,531.97,542.53,58.08,66.54,1357.49,839.64,853.25,385.25
15854,5854,1489.74,1458.73,353.97,336.72,85.49,68.02,470.57,453.07,1344.79,1345.65,397.89,340.56,134.27,242.03,159.22,347.43,230.66,1512.05,1267.79,1153.34,1140.04,108.96,109.23,1615.26,1616.56,71.32,410.59,483.30,485.30,92.79,91.43,77.86,263.46,260.15,109.99,613.15,582.92,66.50,67.72,1431.01,956.27,951.12,462.27
15855,5855,1517.88,1534.46,351.86,362.75,71.51,73.91,492.29,477.75,1399.26,1408.00,419.74,325.08,112.75,271.25,149.93,367.69,221.68,1575.09,1352.93,1173.24,1182.96,91.68,106.18,1708.73,1705.26,69.20,379.14,488.43,488.42,95.65,92.33,119.71,261.57,268.80,103.24,600.11,606.52,64.49,70.08,1508.40,936.23,935.62,449.92
15856,5856,1279.34,1278.32,274.37,277.07,57.16,54.85,398.98,416.12,1194.56,1202.79,365.26,255.23,103.60,217.01,147.71,329.16,178.08,1339.46,1146.21,1022.68,1031.80,88.10,93.50,1480.28,1477.85,63.03,342.04,427.34,430.79,74.63,65.69,103.07,205.49,224.54,98.19,482.17,490.09,54.00,43.99,1296.76,838.64,872.19,379.56
