Subject Number,NL Subject,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth (Chest Circumference at Scye) (mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg)
16678,6678,Male,610.00,252.00,235.00,570.00,852.00,617.00,335.00,381.00,137.00,843.00,,612.00,853.00,855.00,253.00,801.00,120.00,262.00,202.00,200.00,147.00,539.00,187.00,314.00,840.00,905.00,552.00,460.00,440.00,922.00,1777.00,5.00,497.00,472.00,775.67,770.00,777.00,780.00,4.00,625.00,1592.00,683.00,391.00,1088.00,57.00
16679,6679,Female,593.00,236.00,211.00,568.00,846.00,635.00,357.00,380.00,130.00,931.00,792.00,642.00,885.00,856.00,221.00,806.00,112.00,240.00,194.00,196.00,144.00,549.00,192.00,473.00,1159.00,849.00,546.00,443.00,447.00,931.00,1776.00,12.20,680.00,669.00,781.67,781.00,781.00,783.00,15.20,677.00,1606.00,811.00,377.00,1088.00,74.50
16680,6680,Female,612.00,253.00,190.00,532.00,795.00,605.00,342.00,359.00,131.00,886.00,746.00,626.00,859.00,869.00,253.00,824.00,111.00,248.00,190.00,190.00,144.00,550.00,194.00,429.00,1039.00,892.00,538.00,426.00,417.00,938.00,1792.00,9.60,600.00,595.00,773.67,760.00,784.00,777.00,16.80,595.00,1636.00,830.00,424.00,1077.00,66.60
16681,6681,Female,612.00,247.00,192.00,500.00,736.00,544.00,308.00,385.00,140.00,924.00,801.00,594.00,896.00,767.00,276.00,786.00,110.00,245.00,192.00,190.00,152.00,564.00,191.00,399.00,1037.00,794.00,500.00,422.00,422.00,895.00,1662.00,10.40,581.00,599.00,725.33,724.00,727.00,725.00,16.20,601.00,1588.00,829.00,417.00,990.00,65.60
16682,6682,Male,632.00,262.00,213.00,547.00,815.00,602.00,334.00,415.00,135.00,894.00,,614.00,915.00,825.00,278.00,850.00,114.00,261.00,214.00,198.00,146.00,550.00,202.00,372.00,974.00,875.00,547.00,426.00,464.00,970.00,1814.00,13.40,565.00,563.00,789.33,777.00,795.00,796.00,11.20,694.00,1677.00,831.00,419.00,1081.00,70.00
16683,6683,Female,549.00,230.00,200.00,525.00,702.00,502.00,325.00,345.00,135.00,828.00,761.00,593.00,795.00,802.00,209.00,744.00,118.00,231.00,182.00,173.00,148.00,571.00,202.00,367.00,927.00,812.00,517.00,400.00,391.00,868.00,1665.00,10.80,515.00,523.00,707.00,702.00,711.00,708.00,9.60,550.00,1430.00,720.00,401.00,999.00,54.00
16684,6684,Male,633.00,266.00,231.00,626.00,942.00,711.00,395.00,481.00,135.00,978.00,,706.00,998.00,961.00,214.00,840.00,134.00,279.00,236.00,208.00,149.00,589.00,208.00,392.00,1059.00,1017.00,624.00,560.00,471.00,965.00,1951.00,10.70,624.00,627.00,906.33,888.00,896.00,935.00,6.60,649.00,1781.00,919.00,433.00,1164.00,86.20
16685,6685,Male,631.00,257.00,226.00,582.00,867.00,641.00,356.00,440.00,128.00,906.00,,616.00,957.00,875.00,260.00,833.00,115.00,253.00,217.00,193.00,147.00,561.00,198.00,377.00,1003.00,907.00,546.00,458.00,478.00,951.00,1809.00,8.20,599.00,606.00,824.00,822.00,825.00,825.00,8.00,634.00,1657.00,824.00,430.00,1064.00,73.00
16686,6686,Male,622.00,250.00,233.00,575.00,852.00,619.00,342.00,390.00,134.00,906.00,,672.00,934.00,851.00,255.00,838.00,127.00,271.00,214.00,214.00,145.00,563.00,197.00,346.00,923.00,876.00,548.00,434.00,455.00,957.00,1828.00,6.80,505.00,516.00,838.33,836.00,838.00,841.00,4.00,600.00,1687.00,806.00,482.00,1059.00,66.50
16687,6687,Female,557.00,236.00,180.00,497.00,752.00,572.00,317.00,364.00,125.00,871.00,742.00,592.00,834.00,820.00,215.00,756.00,108.00,251.00,177.00,184.00,136.00,529.00,183.00,349.00,935.00,837.00,525.00,392.00,390.00,864.00,1662.00,9.10,540.00,540.00,759.00,755.00,769.00,753.00,11.80,579.00,1466.00,733.00,363.00,1009.00,51.00
