Subject Number,NL Subject,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth (Chest Circumference at Scye) (mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg)
11001,1001,Female,640.00,227.00,187.00,545.00,790.00,603.00,358.00,400.00,127.00,904.00,793.00,603.00,844.00,799.00,279.00,825.00,107.00,233.00,182.00,181.00,157.00,560.00,184.00,391.00,1000.00,814.00,500.00,444.00,406.00,933.00,1723.00,9.60,565.00,548.00,765.67,768.00,764.00,765.00,14.20,643.00,1571.00,724.00,362.00,1053.00,60.90
11002,1002,Female,623.00,248.00,204.00,530.00,770.00,566.00,326.00,417.00,129.00,859.00,751.00,569.00,870.00,754.00,272.00,825.00,123.00,248.00,194.00,186.00,143.00,535.00,182.00,392.00,1027.00,791.00,499.00,401.00,429.00,943.00,1694.00,14.10,607.00,598.00,759.00,767.00,754.00,756.00,17.60,694.00,1591.00,690.00,380.00,1004.00,63.20
11009,1009,Female,564.00,246.00,210.00,525.00,783.00,573.00,315.00,443.00,139.00,1092.00,921.00,622.00,1011.00,739.00,222.00,788.00,119.00,248.00,197.00,182.00,155.00,549.00,188.00,443.00,1135.00,781.00,,452.00,460.00,882.00,1659.00,22.40,654.00,665.00,742.33,757.00,737.00,733.00,17.80,816.00,1726.00,1014.00,372.00,1014.00,85.00
11012,1012,Male,699.00,290.00,238.00,640.00,950.00,712.00,402.00,475.00,150.00,1004.00,,699.00,1031.00,1005.00,275.00,924.00,120.00,295.00,245.00,223.00,155.00,609.00,215.00,410.00,1091.00,991.00,656.00,506.00,505.00,1032.00,2053.00,13.00,655.00,662.00,900.67,901.00,901.00,900.00,11.40,695.00,1870.00,916.00,502.00,1224.00,107.60
11017,1017,Female,556.00,240.00,194.00,510.00,762.00,568.00,316.00,375.00,132.00,898.00,785.00,576.00,891.00,808.00,223.00,717.00,107.00,241.00,185.00,192.00,149.00,533.00,177.00,378.00,985.00,810.00,521.00,438.00,432.00,838.00,1608.00,13.80,579.00,590.00,754.00,757.00,756.00,749.00,14.20,599.00,1451.00,755.00,325.00,1014.00,61.30
11021,1021,Female,590.00,225.00,200.00,557.00,825.00,625.00,357.00,365.00,141.00,925.00,766.00,642.00,857.00,865.00,225.00,812.00,108.00,253.00,176.00,195.00,141.00,513.00,177.00,425.00,1052.00,860.00,538.00,416.00,388.00,916.00,1776.00,13.80,596.00,587.00,803.33,811.00,803.00,796.00,16.80,,1563.00,901.00,430.00,1054.00,66.00
11024,1024,Male,634.00,275.00,248.00,630.00,920.00,672.00,382.00,522.00,144.00,1099.00,,648.00,1138.00,890.00,244.00,835.00,119.00,283.00,247.00,213.00,152.00,608.00,213.00,393.00,1090.00,850.00,582.00,482.00,535.00,962.00,1850.00,13.00,660.00,656.00,811.33,809.00,816.00,809.00,5.80,665.00,1720.00,867.00,477.00,1101.00,98.30
11025,1025,Male,691.00,295.00,247.00,600.00,892.00,645.00,353.00,428.00,132.00,983.00,,614.00,1004.00,856.00,321.00,868.00,137.00,278.00,235.00,218.00,154.00,587.00,201.00,368.00,966.00,852.00,572.00,492.00,473.00,984.00,1840.00,10.00,571.00,566.00,833.00,819.00,845.00,835.00,5.40,645.00,1782.00,886.00,488.00,1067.00,82.70
11026,1026,Female,630.00,248.00,229.00,580.00,840.00,611.00,351.00,434.00,148.00,1080.00,970.00,665.00,1076.00,827.00,275.00,803.00,121.00,252.00,217.00,185.00,160.00,582.00,194.00,430.00,1122.00,847.00,544.00,451.00,483.00,915.00,1750.00,16.20,681.00,644.00,776.00,781.00,775.00,772.00,20.60,745.00,1750.00,906.00,400.00,1090.00,88.50
11027,1027,Female,625.00,249.00,218.00,545.00,807.00,589.00,327.00,375.00,138.00,910.00,804.00,614.00,894.00,806.00,269.00,799.00,121.00,252.00,200.00,193.00,142.00,555.00,186.00,415.00,1065.00,811.00,524.00,413.00,418.00,898.00,1695.00,17.60,621.00,609.00,766.00,763.00,772.00,763.00,25.00,735.00,1631.00,804.00,397.00,1072.00,70.40
11029,1029,Male,661.00,281.00,226.00,570.00,834.00,608.00,344.00,468.00,135.00,1153.00,,643.00,1069.00,797.00,300.00,776.00,124.00,267.00,191.00,203.00,148.00,546.00,183.00,405.00,1056.00,799.00,557.00,500.00,462.00,898.00,1729.00,22.80,619.00,602.00,782.67,784.00,788.00,776.00,11.60,774.00,1836.00,1036.00,435.00,1043.00,98.70
11031,1031,Female,547.00,237.00,196.00,520.00,760.00,564.00,324.00,378.00,129.00,937.00,825.00,598.00,905.00,757.00,209.00,741.00,108.00,231.00,193.00,184.00,145.00,541.00,186.00,429.00,1090.00,792.00,489.00,426.00,420.00,848.00,1615.00,9.20,630.00,631.00,744.00,742.00,740.00,750.00,27.00,750.00,1555.00,740.00,330.00,1013.00,63.90
11033,1033,Male,646.00,270.00,232.00,565.00,850.00,618.00,333.00,435.00,140.00,1021.00,,611.00,1039.00,831.00,265.00,840.00,127.00,268.00,218.00,189.00,147.00,562.00,189.00,388.00,,829.00,559.00,575.00,461.00,960.00,1799.00,18.80,610.00,607.00,861.00,856.00,865.00,862.00,13.20,635.00,1720.00,930.00,468.00,1049.00,84.00
11035,1035,Female,576.00,241.00,200.00,545.00,820.00,620.00,345.00,364.00,133.00,925.00,790.00,601.00,924.00,864.00,229.00,786.00,117.00,247.00,179.00,191.00,142.00,544.00,195.00,376.00,958.00,880.00,527.00,435.00,426.00,888.00,1745.00,10.70,538.00,550.00,780.67,793.00,779.00,770.00,16.40,648.00,1510.00,722.00,338.00,1103.00,61.60
11038,1038,Female,544.00,250.00,192.00,490.00,748.00,556.00,298.00,417.00,136.00,1172.00,967.00,601.00,1000.00,741.00,228.00,715.00,102.00,242.00,208.00,172.00,147.00,531.00,174.00,414.00,1065.00,768.00,497.00,490.00,419.00,812.00,1556.00,29.20,602.00,610.00,755.67,725.00,776.00,766.00,19.80,712.00,1634.00,1030.00,405.00,943.00,80.10
11040,1040,Male,644.00,281.00,220.00,565.00,819.00,599.00,345.00,477.00,142.00,1218.00,,665.00,1151.00,779.00,261.00,832.00,129.00,269.00,211.00,190.00,155.00,569.00,192.00,405.00,1089.00,822.00,541.00,514.00,471.00,943.00,1771.00,,679.00,676.00,800.33,802.00,802.00,797.00,20.80,773.00,1902.00,1192.00,495.00,1023.00,107.20
11042,1042,Female,591.00,250.00,200.00,529.00,787.00,587.00,329.00,410.00,134.00,900.00,790.00,582.00,871.00,789.00,,771.00,119.00,255.00,182.00,180.00,149.00,563.00,193.00,404.00,962.00,795.00,,400.00,418.00,879.00,1686.00,16.20,574.00,562.00,744.67,730.00,749.00,755.00,19.80,675.00,1550.00,740.00,375.00,1061.00,63.00
11049,1049,Female,563.00,272.00,243.00,585.00,854.00,611.00,342.00,484.00,144.00,1331.00,1072.00,626.00,1171.00,801.00,207.00,752.00,108.00,254.00,203.00,195.00,155.00,568.00,186.00,435.00,1063.00,795.00,528.00,468.00,502.00,862.00,1701.00,31.00,645.00,603.00,804.33,820.00,790.00,803.00,27.20,810.00,1743.00,1226.00,406.00,1068.00,101.60
11050,1050,Male,637.00,289.00,225.00,580.00,850.00,625.00,355.00,452.00,140.00,1179.00,,645.00,1137.00,795.00,268.00,830.00,123.00,282.00,225.00,186.00,145.00,572.00,198.00,398.00,1085.00,909.00,530.00,487.00,507.00,939.00,1787.00,37.00,618.00,634.00,852.33,830.00,861.00,866.00,15.00,780.00,1891.00,,446.00,1045.00,102.00
11051,1051,Female,663.00,298.00,220.00,580.00,855.00,635.00,360.00,464.00,136.00,1120.00,983.00,632.00,1073.00,801.00,294.00,829.00,121.00,253.00,202.00,189.00,164.00,556.00,181.00,444.00,1160.00,862.00,560.00,492.00,446.00,931.00,1740.00,31.70,663.00,644.00,805.00,798.00,807.00,810.00,17.40,875.00,1851.00,959.00,402.00,1083.00,96.40
11052,1052,Male,628.00,262.00,215.00,545.00,800.00,585.00,330.00,446.00,149.00,1104.00,,653.00,1034.00,828.00,258.00,765.00,116.00,251.00,204.00,180.00,165.00,598.00,196.00,398.00,1040.00,843.00,530.00,507.00,470.00,899.00,1751.00,23.00,584.00,588.00,815.67,819.00,816.00,812.00,8.80,635.00,1756.00,1020.00,510.00,1018.00,93.00
11054,1054,Female,616.00,238.00,200.00,541.00,798.00,598.00,341.00,452.00,137.00,1099.00,881.00,630.00,1012.00,799.00,269.00,794.00,117.00,236.00,197.00,177.00,143.00,545.00,191.00,438.00,1049.00,845.00,516.00,483.00,433.00,904.00,1739.00,40.00,630.00,625.00,758.00,758.00,758.00,758.00,30.00,717.00,1702.00,893.00,391.00,1065.00,80.80
11057,1057,Female,599.00,254.00,225.00,546.00,777.00,552.00,321.00,377.00,130.00,914.00,780.00,589.00,934.00,804.00,265.00,847.00,116.00,256.00,192.00,190.00,138.00,560.00,195.00,,968.00,827.00,513.00,475.00,447.00,921.00,1740.00,19.00,554.00,567.00,762.00,760.00,765.00,761.00,13.20,655.00,1599.00,775.00,370.00,1048.00,60.00
11064,1064,Female,571.00,231.00,190.00,505.00,753.00,563.00,315.00,419.00,133.00,1049.00,803.00,613.00,960.00,789.00,231.00,744.00,106.00,239.00,182.00,177.00,149.00,543.00,184.00,406.00,1053.00,787.00,511.00,405.00,409.00,863.00,1660.00,16.30,610.00,610.00,757.33,758.00,760.00,754.00,17.80,713.00,1600.00,872.00,402.00,1032.00,73.00
11072,1072,Male,599.00,274.00,245.00,570.00,845.00,600.00,325.00,442.00,141.00,1051.00,,640.00,1034.00,828.00,248.00,845.00,119.00,281.00,221.00,202.00,157.00,573.00,193.00,410.00,1095.00,864.00,540.00,498.00,490.00,967.00,1820.00,19.40,646.00,634.00,823.67,834.00,822.00,815.00,13.00,623.00,1760.00,1003.00,509.00,1049.00,93.20
11074,1074,Male,576.00,241.00,206.00,555.00,832.00,626.00,349.00,413.00,139.00,891.00,,628.00,924.00,842.00,224.00,784.00,110.00,263.00,209.00,186.00,143.00,559.00,194.00,337.00,938.00,891.00,555.00,464.00,444.00,890.00,1769.00,18.60,558.00,559.00,803.67,797.00,808.00,806.00,7.80,644.00,1642.00,809.00,392.00,1071.00,68.00
11079,1079,Female,588.00,252.00,196.00,495.00,727.00,531.00,299.00,447.00,126.00,1229.00,1054.00,599.00,1105.00,681.00,257.00,732.00,113.00,204.00,185.00,164.00,140.00,552.00,191.00,435.00,1145.00,704.00,468.00,484.00,447.00,842.00,1529.00,40.00,650.00,642.00,724.33,712.00,725.00,736.00,35.20,810.00,1749.00,1112.00,449.00,904.00,92.00
11081,1081,Male,634.00,255.00,200.00,565.00,865.00,665.00,365.00,400.00,138.00,890.00,,634.00,908.00,882.00,252.00,792.00,114.00,263.00,210.00,203.00,152.00,543.00,182.00,341.00,895.00,969.00,563.00,428.00,444.00,925.00,1833.00,10.80,498.00,520.00,833.67,812.00,837.00,852.00,10.80,605.00,1628.00,788.00,405.00,1116.00,62.40
11084,1084,Female,571.00,231.00,166.00,505.00,741.00,575.00,339.00,371.00,131.00,791.00,699.00,581.00,791.00,772.00,234.00,761.00,114.00,241.00,184.00,179.00,148.00,555.00,183.00,376.00,912.00,800.00,485.00,379.00,369.00,873.00,1655.00,7.80,513.00,498.00,738.67,735.00,746.00,735.00,10.60,597.00,1440.00,664.00,350.00,1003.00,51.10
11085,1085,Male,604.00,270.00,219.00,572.00,820.00,601.00,353.00,449.00,144.00,1025.00,,632.00,1020.00,785.00,227.00,795.00,111.00,265.00,212.00,192.00,162.00,595.00,201.00,373.00,978.00,809.00,513.00,491.00,,910.00,1726.00,19.20,546.00,535.00,807.33,801.00,822.00,799.00,7.90,635.00,1669.00,950.00,480.00,995.00,80.80
11086,1086,Female,588.00,246.00,190.00,515.00,790.00,600.00,325.00,470.00,137.00,1208.00,990.00,606.00,1070.00,767.00,261.00,759.00,134.00,236.00,204.00,184.00,140.00,550.00,192.00,454.00,1135.00,806.00,500.00,423.00,507.00,866.00,1648.00,31.00,697.00,709.00,778.33,771.00,776.00,788.00,36.00,765.00,1732.00,944.00,390.00,990.00,90.50
11088,1088,Female,573.00,259.00,188.00,503.00,756.00,568.00,315.00,454.00,133.00,1150.00,922.00,620.00,999.00,726.00,253.00,747.00,106.00,245.00,192.00,180.00,143.00,546.00,191.00,521.00,1280.00,760.00,495.00,,434.00,856.00,1595.00,26.00,,735.00,706.67,715.00,701.00,704.00,33.20,820.00,1722.00,969.00,380.00,978.00,98.60
11090,1090,Female,571.00,236.00,210.00,530.00,772.00,562.00,320.00,395.00,130.00,849.00,737.00,593.00,845.00,816.00,228.00,781.00,108.00,241.00,191.00,173.00,147.00,536.00,171.00,376.00,968.00,768.00,508.00,399.00,433.00,895.00,1696.00,9.00,566.00,535.00,746.33,734.00,757.00,748.00,8.60,697.00,1546.00,690.00,337.00,1061.00,57.10
11092,1092,Female,554.00,238.00,216.00,520.00,777.00,561.00,304.00,350.00,121.00,927.00,779.00,574.00,904.00,748.00,230.00,748.00,112.00,233.00,175.00,178.00,137.00,,181.00,382.00,1008.00,801.00,492.00,410.00,404.00,854.00,1599.00,19.10,580.00,577.00,717.67,714.00,723.00,716.00,17.00,681.00,1547.00,725.00,356.00,991.00,57.40
11094,1094,Female,590.00,244.00,195.00,533.00,793.00,598.00,338.00,375.00,124.00,810.00,720.00,668.00,815.00,878.00,252.00,766.00,100.00,263.00,190.00,186.00,137.00,538.00,172.00,345.00,902.00,854.00,529.00,399.00,398.00,881.00,1767.00,7.60,535.00,510.00,790.33,798.00,781.00,792.00,10.80,660.00,1525.00,606.00,337.00,1108.00,54.70
11096,1096,Female,643.00,241.00,213.00,549.00,793.00,580.00,336.00,411.00,130.00,940.00,798.00,629.00,931.00,808.00,289.00,810.00,125.00,245.00,197.00,188.00,141.00,550.00,189.00,427.00,1085.00,824.00,511.00,479.00,470.00,933.00,1737.00,18.40,635.00,650.00,744.67,747.00,745.00,742.00,16.40,745.00,1760.00,842.00,404.00,1037.00,72.90
11098,1098,Female,571.00,247.00,216.00,565.00,853.00,637.00,349.00,387.00,134.00,909.00,788.00,622.00,900.00,867.00,206.00,762.00,110.00,244.00,190.00,194.00,146.00,534.00,182.00,412.00,1042.00,897.00,535.00,438.00,430.00,869.00,1724.00,17.20,641.00,625.00,778.00,770.00,782.00,782.00,21.20,655.00,1587.00,761.00,382.00,1099.00,72.10
11099,1099,Male,605.00,259.00,205.00,560.00,842.00,637.00,355.00,413.00,134.00,929.00,,600.00,961.00,816.00,246.00,833.00,125.00,270.00,220.00,202.00,150.00,558.00,192.00,360.00,963.00,875.00,557.00,449.00,445.00,922.00,1745.00,8.20,556.00,548.00,793.67,786.00,807.00,788.00,14.20,580.00,1617.00,850.00,435.00,1004.00,67.80
11105,1105,Female,541.00,221.00,184.00,480.00,708.00,524.00,296.00,381.00,130.00,863.00,727.00,546.00,808.00,706.00,222.00,727.00,106.00,222.00,175.00,169.00,146.00,512.00,170.00,378.00,959.00,711.00,466.00,400.00,367.00,836.00,1506.00,11.00,567.00,544.00,714.67,702.00,721.00,721.00,20.10,690.00,1459.00,715.00,335.00,913.00,51.60
11106,1106,Female,582.00,233.00,179.00,485.00,725.00,546.00,306.00,337.00,128.00,975.00,809.00,560.00,909.00,710.00,272.00,730.00,102.00,222.00,187.00,172.00,138.00,532.00,177.00,418.00,1036.00,755.00,472.00,452.00,413.00,844.00,1563.00,19.40,595.00,611.00,704.67,706.00,709.00,699.00,19.60,690.00,1549.00,772.00,320.00,967.00,64.80
11107,1107,Female,630.00,277.00,210.00,584.00,855.00,645.00,374.00,480.00,136.00,1249.00,1002.00,651.00,1142.00,851.00,251.00,790.00,119.00,267.00,209.00,204.00,152.00,574.00,191.00,465.00,1172.00,889.00,574.00,503.00,460.00,905.00,1765.00,31.00,691.00,690.00,836.33,830.00,841.00,838.00,16.80,690.00,1772.00,1117.00,438.00,1059.00,103.90
11112,1112,Female,628.00,231.00,193.00,510.00,750.00,557.00,317.00,402.00,136.00,1050.00,885.00,573.00,968.00,737.00,317.00,785.00,105.00,232.00,189.00,178.00,152.00,562.00,191.00,410.00,1050.00,787.00,484.00,461.00,457.00,903.00,1633.00,23.00,620.00,634.00,699.33,701.00,704.00,693.00,28.80,695.00,1636.00,861.00,390.00,976.00,77.20
11113,1113,Male,568.00,254.00,200.00,515.00,735.00,535.00,315.00,405.00,130.00,992.00,,555.00,980.00,711.00,227.00,741.00,106.00,252.00,203.00,178.00,152.00,542.00,174.00,390.00,946.00,755.00,479.00,434.00,472.00,858.00,1595.00,16.00,531.00,557.00,722.67,726.00,728.00,714.00,8.80,680.00,1656.00,894.00,443.00,919.00,67.50
11116,1116,Female,581.00,248.00,205.00,520.00,777.00,572.00,315.00,379.00,123.00,876.00,765.00,601.00,880.00,802.00,236.00,814.00,116.00,263.00,201.00,187.00,147.00,548.00,183.00,399.00,1007.00,812.00,522.00,435.00,409.00,903.00,1701.00,12.80,570.00,568.00,764.33,756.00,768.00,769.00,15.00,698.00,1582.00,701.00,360.00,1043.00,61.30
11124,1124,Female,664.00,285.00,219.00,581.00,860.00,641.00,362.00,564.00,145.00,1202.00,996.00,685.00,1115.00,868.00,281.00,860.00,105.00,266.00,206.00,194.00,147.00,572.00,186.00,500.00,1249.00,969.00,568.00,490.00,527.00,956.00,1849.00,38.10,780.00,730.00,821.67,814.00,820.00,831.00,32.00,859.00,1900.00,1080.00,456.00,1183.00,119.30
11127,1127,Female,618.00,240.00,195.00,520.00,760.00,565.00,325.00,422.00,120.00,970.00,827.00,596.00,914.00,759.00,270.00,786.00,97.00,238.00,202.00,173.00,147.00,557.00,193.00,403.00,1014.00,815.00,,415.00,405.00,885.00,1650.00,15.80,580.00,573.00,748.33,748.00,751.00,746.00,15.80,660.00,1602.00,789.00,376.00,1010.00,65.10
11128,1128,Female,653.00,245.00,220.00,552.00,820.00,600.00,332.00,382.00,140.00,891.00,784.00,593.00,896.00,794.00,303.00,874.00,113.00,244.00,195.00,185.00,155.00,565.00,191.00,433.00,1055.00,784.00,514.00,398.00,421.00,986.00,1742.00,16.60,599.00,629.00,782.67,775.00,793.00,780.00,24.00,795.00,1674.00,722.00,375.00,1072.00,68.30
11131,1131,Male,686.00,289.00,211.00,579.00,880.00,669.00,368.00,458.00,137.00,1030.00,,673.00,1030.00,926.00,296.00,881.00,126.00,281.00,231.00,215.00,150.00,577.00,195.00,384.00,1017.00,947.00,620.00,495.00,477.00,1001.00,1956.00,18.20,600.00,585.00,903.33,901.00,897.00,912.00,9.30,594.00,1824.00,941.00,504.00,1141.00,90.00
11137,1137,Male,627.00,277.00,215.00,565.00,846.00,631.00,350.00,443.00,123.00,1084.00,,625.00,1046.00,863.00,252.00,854.00,126.00,285.00,227.00,215.00,153.00,569.00,201.00,398.00,1028.00,851.00,543.00,513.00,471.00,973.00,1815.00,15.80,561.00,580.00,784.00,798.00,777.00,777.00,16.90,664.00,1762.00,910.00,481.00,1031.00,84.90
11141,1141,Male,653.00,262.00,206.00,580.00,850.00,644.00,374.00,425.00,137.00,1005.00,,641.00,978.00,876.00,272.00,838.00,110.00,263.00,214.00,209.00,149.00,556.00,193.00,377.00,1034.00,938.00,565.00,473.00,442.00,957.00,1850.00,12.80,581.00,565.00,829.00,835.00,826.00,826.00,5.20,655.00,1743.00,927.00,447.00,1070.00,82.20
11142,1142,Male,645.00,274.00,219.00,604.00,882.00,663.00,385.00,440.00,136.00,973.00,,626.00,989.00,862.00,253.00,883.00,119.00,275.00,216.00,202.00,145.00,558.00,195.00,358.00,973.00,914.00,587.00,474.00,460.00,1004.00,1880.00,14.80,544.00,556.00,843.33,848.00,841.00,841.00,4.60,645.00,1755.00,915.00,490.00,1102.00,78.50
11144,1144,Female,623.00,242.00,187.00,530.00,769.00,582.00,343.00,397.00,134.00,989.00,863.00,617.00,930.00,833.00,278.00,807.00,107.00,236.00,186.00,181.00,141.00,542.00,189.00,404.00,1043.00,799.00,522.00,423.00,421.00,915.00,1718.00,27.50,612.00,611.00,740.00,743.00,737.00,740.00,25.60,550.00,1625.00,891.00,446.00,989.00,73.30
11146,1146,Female,596.00,238.00,190.00,510.00,759.00,569.00,320.00,431.00,133.00,1031.00,844.00,594.00,934.00,769.00,265.00,784.00,110.00,245.00,195.00,183.00,140.00,552.00,189.00,393.00,990.00,849.00,496.00,482.00,421.00,899.00,1679.00,21.20,579.00,574.00,757.67,754.00,760.00,759.00,18.40,685.00,1668.00,847.00,357.00,1018.00,67.80
11147,1147,Male,697.00,310.00,252.00,650.00,955.00,703.00,398.00,559.00,160.00,1270.00,,733.00,1232.00,888.00,261.00,876.00,121.00,313.00,240.00,224.00,159.00,618.00,216.00,472.00,1278.00,984.00,617.00,612.00,580.00,998.00,1948.00,55.00,735.00,754.00,944.67,948.00,948.00,938.00,23.00,817.00,2062.00,1235.00,603.00,1134.00,149.70
11148,1148,Female,592.00,256.00,200.00,520.00,770.00,570.00,320.00,438.00,126.00,946.00,810.00,581.00,885.00,767.00,269.00,788.00,107.00,238.00,189.00,181.00,143.00,533.00,186.00,410.00,1065.00,796.00,514.00,491.00,411.00,889.00,1653.00,10.90,582.00,619.00,716.00,735.00,698.00,715.00,17.10,676.00,1628.00,882.00,375.00,999.00,64.60
11149,1149,Male,555.00,267.00,232.00,538.00,790.00,558.00,306.00,441.00,141.00,980.00,,584.00,1040.00,674.00,234.00,770.00,124.00,253.00,226.00,196.00,160.00,589.00,200.00,356.00,987.00,730.00,480.00,469.00,471.00,879.00,1622.00,16.10,556.00,551.00,758.67,753.00,753.00,770.00,7.10,612.00,1681.00,850.00,445.00,902.00,70.10
11150,1150,Female,588.00,280.00,198.00,505.00,718.00,520.00,307.00,480.00,129.00,1200.00,1016.00,601.00,1070.00,763.00,274.00,771.00,113.00,243.00,204.00,188.00,142.00,540.00,186.00,489.00,1235.00,760.00,520.00,460.00,475.00,864.00,1628.00,34.20,751.00,753.00,735.33,744.00,717.00,745.00,34.10,863.00,1802.00,1065.00,432.00,988.00,98.20
11154,1154,Female,603.00,228.00,200.00,519.00,770.00,570.00,319.00,367.00,141.00,900.00,768.00,597.00,886.00,816.00,276.00,797.00,110.00,234.00,187.00,180.00,147.00,572.00,192.00,393.00,1007.00,823.00,523.00,433.00,421.00,920.00,1720.00,15.40,584.00,578.00,736.00,733.00,738.00,737.00,16.20,667.00,1562.00,714.00,375.00,1069.00,63.70
11157,1157,Female,559.00,245.00,204.00,530.00,770.00,566.00,326.00,422.00,144.00,1010.00,883.00,617.00,955.00,759.00,233.00,759.00,119.00,253.00,196.00,186.00,158.00,552.00,187.00,416.00,1050.00,774.00,515.00,431.00,406.00,854.00,1644.00,17.60,607.00,598.00,743.67,732.00,755.00,744.00,11.40,730.00,1655.00,867.00,387.00,1035.00,72.40
11159,1159,Male,610.00,253.00,240.00,580.00,825.00,585.00,340.00,483.00,150.00,1107.00,,585.00,1126.00,701.00,283.00,764.00,116.00,247.00,205.00,184.00,156.00,577.00,199.00,386.00,1084.00,764.00,490.00,522.00,493.00,880.00,1635.00,33.40,637.00,644.00,727.33,725.00,738.00,719.00,10.00,640.00,1749.00,1046.00,504.00,921.00,95.00
11160,1160,Female,558.00,235.00,185.00,492.00,727.00,542.00,307.00,408.00,141.00,890.00,761.00,574.00,867.00,761.00,234.00,746.00,102.00,232.00,192.00,175.00,150.00,572.00,190.00,380.00,951.00,802.00,506.00,399.00,394.00,837.00,1624.00,11.30,530.00,507.00,688.67,689.00,689.00,688.00,14.10,650.00,1518.00,714.00,360.00,1002.00,54.10
11161,1161,Female,588.00,240.00,213.00,520.00,740.00,527.00,307.00,379.00,138.00,950.00,863.00,581.00,935.00,754.00,278.00,786.00,115.00,235.00,194.00,181.00,146.00,559.00,193.00,403.00,1025.00,771.00,491.00,450.00,428.00,886.00,1637.00,10.00,600.00,596.00,722.33,716.00,727.00,724.00,10.60,706.00,1613.00,748.00,345.00,1012.00,63.90
11162,1162,Female,594.00,250.00,222.00,530.00,780.00,558.00,308.00,380.00,138.00,994.00,843.00,623.00,958.00,828.00,245.00,790.00,134.00,246.00,188.00,186.00,155.00,545.00,187.00,408.00,990.00,817.00,503.00,421.00,463.00,893.00,1703.00,14.20,613.00,618.00,798.33,786.00,798.00,811.00,17.20,610.00,1580.00,849.00,400.00,1036.00,70.20
11164,1164,Male,574.00,253.00,223.00,566.00,828.00,605.00,343.00,405.00,132.00,838.00,,596.00,877.00,819.00,223.00,795.00,115.00,251.00,211.00,183.00,147.00,552.00,189.00,328.00,890.00,860.00,528.00,419.00,442.00,926.00,1737.00,6.60,512.00,500.00,776.67,778.00,776.00,776.00,4.80,600.00,1566.00,684.00,418.00,1018.00,57.50
11165,1165,Female,557.00,249.00,195.00,540.00,780.00,585.00,345.00,460.00,139.00,1170.00,982.00,622.00,1037.00,767.00,204.00,751.00,125.00,245.00,179.00,168.00,151.00,555.00,186.00,418.00,1075.00,809.00,506.00,518.00,441.00,865.00,1645.00,30.00,588.00,600.00,764.33,777.00,742.00,774.00,14.00,719.00,1681.00,1091.00,430.00,971.00,86.00
11166,1166,Male,635.00,283.00,243.00,600.00,872.00,629.00,357.00,460.00,137.00,1089.00,,638.00,1032.00,839.00,254.00,810.00,123.00,286.00,230.00,202.00,157.00,595.00,209.00,420.00,990.00,815.00,508.00,479.00,458.00,951.00,1797.00,23.00,585.00,591.00,857.67,861.00,873.00,839.00,18.60,615.00,1726.00,965.00,510.00,1003.00,88.60
11167,1167,Female,579.00,238.00,203.00,532.00,775.00,572.00,329.00,379.00,138.00,1023.00,835.00,597.00,946.00,761.00,240.00,736.00,108.00,229.00,180.00,177.00,147.00,539.00,180.00,429.00,1119.00,801.00,492.00,465.00,448.00,854.00,1608.00,26.80,639.00,650.00,727.67,726.00,727.00,730.00,24.00,783.00,1599.00,792.00,328.00,1035.00,71.60
11169,1169,Female,534.00,246.00,182.00,502.00,720.00,538.00,320.00,408.00,137.00,1032.00,849.00,600.00,908.00,754.00,204.00,726.00,110.00,241.00,181.00,176.00,140.00,515.00,181.00,406.00,1036.00,824.00,493.00,426.00,424.00,832.00,1598.00,19.50,579.00,561.00,739.00,740.00,736.00,741.00,18.40,751.00,1580.00,824.00,334.00,984.00,67.80
11173,1173,Female,611.00,273.00,217.00,582.00,843.00,626.00,365.00,443.00,138.00,1016.00,870.00,627.00,962.00,882.00,249.00,799.00,114.00,263.00,193.00,199.00,146.00,555.00,195.00,422.00,1048.00,874.00,575.00,475.00,448.00,923.00,1799.00,14.40,572.00,577.00,827.00,822.00,829.00,830.00,19.80,684.00,1678.00,902.00,404.00,1017.00,78.10
