Jacket Size,Pants Size Waist
53.0,34.0
52.0,32.0
49.0,32.0
50.0,36.0
46.0,33.0
42.0,34.0
56.0,38.0
48.0,32.0
52.0,34.0
54.0,34.0
48.0,31.0
60.0,36.0
48.0,31.0
52.0,36.0
52.0,33.0
48.0,32.0
52.0,34.0
58.0,34.0
48.0,30.0
50.0,36.0
50.0,32.0
50.0,38.0
44.0,36.0
48.0,30.0
50.0,34.0
49.0,33.0
48.0,32.0
54.0,36.0
50.0,33.0
53.0,36.0
58.0,33.0
52.0,36.0
54.0,38.0
48.0,31.0
48.0,31.0
55.0,36.0
52.0,31.0
50.0,31.0
52.0,33.0
51.0,34.0
48.0,32.0
50.0,32.0
54.0,34.0
53.0,33.0
62.0,36.0
52.0,32.0
50.0,33.0
