"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
2.4774108886718835,2.591064453125,4.992388916015628,1.5301361083984446,1.8516723632812386,1.2337158203124972,0.6124084472656222,0.3874816894531179,0.3141845703124915,0.52044677734375,3.7462158203125,0.7350735473632808,0.21379888916015677
2.418426513671875,4.273712158203125,1.0078674316406335,2.3897277832031136,0.61865234375,2.861468505859378,1.7199157714843736,0.42676086425780824,0.9159057617187614,0.2869018554687486,2.1920410156250085,0.5708220214843749,0.7036372985839847
0.13207397460938353,0.7274414062499943,1.2384216308593778,1.0983154296875028,1.7312683105468807,0.6212219238281165,0.698760986328125,1.9181884765624986,2.3500915527343693,4.294360351562503,2.8050781249999943,0.2596681518554682,0.6243594665527334
9.445098876953125,1.0220153808593722,0.207550048828125,1.0074340820312457,5.479504394531247,0.5183593750000028,3.807171630859372,0.23927917480468608,0.1775512695312358,2.1857543945312443,4.92987060546875,0.26986618041992205,0.5526977539062496
5.052520751953125,4.250689697265642,5.732098388671886,2.7060974121093793,7.456018066406244,0.6186767578124943,7.966516113281251,0.11450805664063068,1.3826782226562386,2.1038452148437514,1.6020996093750028,0.03348141479492206,0.06670111083984409
9.39238891601562,1.7814392089843807,1.2027038574218807,1.3607421875000014,5.706591796875003,2.30712890625,2.418591308593747,0.6436981201171861,6.689031982421881,1.3496215820312543,0.9977355957031193,0.03165245056152344,0.34805221557617205
7.690509033203128,0.12187500000000284,2.135913085937503,0.12206115722656108,2.2711608886718864,3.2296203613281307,0.9359588623046804,2.168383789062503,2.103503417968767,1.9733642578124986,1.6374023437499972,1.5009616851806635,0.8220085144042972
6.758190917968747,5.893518066406244,3.212921142578125,4.648416137695314,1.2855468749999943,1.1680175781250028,4.082781982421878,1.409860229492189,0.7327697753906222,0.9623229980468722,4.686145019531239,0.25225418090820284,0.22941235351562472
3.8179870605468693,0.24851684570312216,1.20440673828125,2.5723724365234375,1.315765380859375,5.545166015625,0.434814453125,0.44906921386718324,6.503826904296872,2.0759094238281293,0.8283264160156278,0.10704536437988299,0.36264801025390625
5.129888916015631,3.2183471679687585,1.7700317382812472,2.1779205322265582,1.134039306640645,1.2078735351562528,2.050311279296878,0.8671875,2.856762695312497,1.6606567382812472,1.44049072265625,0.8145485839843749,0.6276641235351565
2.778363037109372,0.905487060546875,3.78741455078125,1.4434234619140582,1.3515625,2.381823730468753,2.4228271484374986,1.1510894775390668,3.782702636718767,2.589428710937497,0.783599853515625,0.40480117797851545,0.01781387329101669
2.7010864257812557,3.4911560058593807,0.2541870117187415,2.105062866210936,1.9879028320312386,1.8367553710937585,4.516473388671869,1.9421112060546832,2.293731689453111,1.5984558105468736,3.8398376464843835,0.526743957519531,0.2705172424316409
11.334582519531253,6.724224853515622,6.293408203124997,0.6178619384765582,8.118139648437506,2.462689208984372,9.803143310546886,4.052359008789061,3.6846923828125,1.945465087890625,8.110003662109364,0.6773197174072259,0.3520896911621092
1.15753173828125,2.8482238769531136,2.380096435546875,3.6919372558593793,0.6019287109375,2.0953308105468835,0.7056823730468764,0.46235351562499716,0.18398437500000853,2.4793762207031165,1.9136901855468835,0.7720761413574229,0.2968563842773442
4.6828063964843665,1.6305297851562415,3.4288269042968693,1.0844268798828125,2.538818359375,0.24009399414062216,0.30930786132812216,0.9656646728515597,0.9703613281249943,0.4958801269531179,6.913751220703119,0.10383251953125061,0.1558797302246102
0.14386596679688068,0.9074523925781222,1.151123046875,1.698516845703125,0.6856567382812528,0.52923583984375,1.3409851074218722,0.3509277343749986,0.4632812499999943,1.4833129882812557,1.1699462890624943,0.07725868225097621,0.15954437255859322
9.609265136718747,1.6641174316406193,0.6228759765624972,2.277844238281247,5.828668212890619,0.9823730468749972,0.83734130859375,2.3577728271484375,0.9282470703125085,1.5698425292968707,3.535919189453111,0.07291717529296893,0.6771179199218746
4.644390869140622,6.2099853515625085,2.256457519531253,0.011212158203122158,4.313153076171872,0.24939575195313068,1.6261962890624986,0.20570983886719318,1.4936035156249972,2.566119384765628,3.337878417968753,0.14681777954101616,0.21248703002929759
