Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle,Weight (kg)
33,176,70,42,Rectangle,1.130588235,0,1,0,67.8
27.8,173,68,39.5,Inverted Triangle,1.198055893,1,0,0,71.2
41.7,172,77,41.5,Triangle,1.08751334,0,0,1,76.4
20.6,170,63,42,Inverted Triangle,1.177333333,1,0,0,60.1
35,182,100,42,Triangle,1.096742349,0,0,1,104.5
27,181,70,42,Triangle,1.106508876,0,0,1,66.9
56.4,162,62,42,Inverted Triangle,1.188369153,1,0,0,63.5
35.2,170,62,39,Inverted Triangle,1.191744341,1,0,0,62.1
25.3,179,85,42.5,Rectangle,1.154594595,0,1,0,83.9
56.9,176,80,43.5,Inverted Triangle,1.202209945,1,0,0,80.5
31.2,180,72,43,Inverted Triangle,1.208661417,1,0,0,71.4
20.8,165,62,41,Rectangle,1.167493797,0,1,0,65.8
34,180,71,45,Rectangle,1.128205128,0,1,0,68.7
23,185,85,45,Triangle,1.088172043,0,0,1,88.2
60,163,65,40,Triangle,1.062975027,0,0,1,68.5
18,195,83,46,Triangle,1.103762828,0,0,1,80.7
20,173,65,41,Rectangle,1.157615894,0,1,0,60.2
64.3,180,81,43.5,Rectangle,1.162971175,0,1,0,82.6
26.4,170,70,41,Rectangle,1.140534262,0,1,0,65.6
23.4,180,67,42,Inverted Triangle,1.273209549,1,0,0,62.8
42,179.5,85,43,Rectangle,1.166304348,0,1,0,80.3
36.5,186,82,42,Inverted Triangle,1.189189189,1,0,0,81.1
27,198,76,49,Rectangle,1.168380463,0,1,0,74.5
20.6,174,70,42.5,Inverted Triangle,1.170160296,1,0,0,70.5
52,172,89,42,Triangle,1.064192578,0,0,1,91.3
43.6,170,73,43,Triangle,1.055614973,0,0,1,74.1
49,187,87,43,Rectangle,1.144086022,0,1,0,89
26.2,178,78,42,Inverted Triangle,1.203428571,1,0,0,78.5
20.7,180,75,42,Triangle,1.093181818,0,0,1,78
19.7,180,66,42.5,Inverted Triangle,1.217105263,1,0,0,60
19.8,176,76,43,Rectangle,1.124145786,0,1,0,78.5
59.6,175,70,42,Triangle,0.995833333,0,0,1,76.5
38,170,71,41,Inverted Triangle,1.363031915,1,0,0,70.5
21,175,50,40,Inverted Triangle,1.228739003,1,0,0,48.2
17.5,181,69,39,Rectangle,1.12414734,0,1,0,55.9
58.1,166,79,42,Triangle,1.063959391,0,0,1,77.7
24,175,60,42,Inverted Triangle,1.228687415,1,0,0,61.3
31,190,83,44,Rectangle,1.113585746,0,1,0,84.3
36,197,105,46,Triangle,1.052820054,0,0,1,115.9
62,175,79,46,Triangle,1.034700315,0,0,1,79.5
29,182,63,42,Inverted Triangle,1.276089828,1,0,0,64.4
59,172,83,42,Inverted Triangle,1.180084746,1,0,0,83.9
30,192,94,45,Triangle,1.019398642,0,0,1,95.6
19,187,80,46,Inverted Triangle,1.224664225,1,0,0,78
41,188,82,43,Inverted Triangle,1.171270718,1,0,0,80.2
30,175,63,42,Inverted Triangle,1.202304738,1,0,0,61.5
40.2,175,86,43,Rectangle,1.121748179,0,1,0,88.3
34.7,165,59,40.5,Rectangle,1.133995037,0,1,0,58.7
26.7,173,73,41,Triangle,1.085380117,0,0,1,71.9
19,196,87,46,Inverted Triangle,1.191990577,1,0,0,87.4
50,163,70,41,Inverted Triangle,1.223529412,1,0,0,70.1
30,187,80,42,Triangle,0.996963563,0,0,1,82.6
19.2,172,62,42,Inverted Triangle,1.199460916,1,0,0,61.1
33,180,88,42,Triangle,1.039175258,0,0,1,87.6
27,187,80,42.5,Triangle,1.102923977,0,0,1,75
47,195,94,43,Rectangle,1.151287554,0,1,0,93.8
41,178,87,42,Rectangle,1.152614728,0,1,0,90.1
56,165,98,43,Triangle,0.991364421,0,0,1,101.8
24,180,66,43,Triangle,1.025287356,0,0,1,67
