"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
800.0,877.0,473.0,960.0,824.0,533.0,458.0,1015.0,660.0,954.0,68.0,89.0
799.0,900.0,460.0,977.0,798.0,579.0,445.0,997.0,628.0,950.0,72.0,86.0
806.0,906.0,434.0,923.0,851.0,505.0,455.0,1059.0,619.0,934.0,74.78,87.56
952.0,1079.0,507.0,1126.0,855.0,674.0,517.0,1027.0,654.0,1072.0,68.66,99.51
880.0,973.0,491.0,1017.0,835.0,568.0,466.0,1059.0,652.0,962.0,86.0,98.0
738.0,886.0,443.0,898.0,748.0,534.0,420.0,946.0,585.0,908.0,66.0,84.0
805.0,859.0,464.0,955.0,812.0,588.0,444.0,1038.0,657.0,903.0,68.0,87.0
982.0,1068.0,485.0,1081.0,835.0,670.0,515.0,1085.0,669.0,1057.0,72.0,82.0
1076.0,1137.0,561.0,1182.0,869.0,683.0,490.0,1122.0,681.0,1136.0,82.72,99.56
898.0,982.0,513.0,1019.0,893.0,593.0,460.0,1122.0,675.0,1000.0,70.37,86.18
931.0,1014.0,488.0,1063.0,855.0,602.0,496.0,1082.0,653.0,1045.0,59.17,87.72
942.0,1007.0,512.0,1075.0,867.0,612.0,492.0,1129.0,643.0,1028.0,90.16,112.36
1011.0,1141.0,524.0,1030.0,767.0,582.0,481.0,976.0,611.0,1110.0,70.03,85.98
856.0,993.0,488.0,1015.0,802.0,610.0,480.0,1028.0,609.0,1061.0,74.88,91.64
950.0,1007.0,476.0,1024.0,885.0,558.0,449.0,1105.0,651.0,1018.0,69.13,86.15
816.0,940.0,484.0,962.0,707.0,568.0,466.0,934.0,610.0,960.0,63.0,78.0
1005.0,1104.0,479.0,1111.0,982.0,612.0,501.0,1203.0,748.0,1111.0,78.99,85.93
683.0,843.0,460.0,840.0,855.0,497.0,440.0,1088.0,617.0,853.0,66.52,84.11
768.0,915.0,485.0,920.0,821.0,515.0,464.0,1026.0,650.0,949.0,74.0,82.0
789.0,940.0,463.0,997.0,815.0,563.0,421.0,1040.0,609.0,924.0,78.0,80.0
931.0,982.0,476.0,1043.0,857.0,625.0,490.0,1011.0,614.0,1025.0,78.55,88.98
810.0,963.0,443.0,961.0,792.0,542.0,452.0,1046.0,568.0,970.0,64.08,85.42
