"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
1012.0,1030.0,867.0,510.0,1087.0,732.0,670.0,391.0,979.0,567.0,930.0,77.4,65.59,80.26
871.0,1053.0,897.0,448.0,1160.0,793.0,703.0,475.0,1075.0,607.0,974.0,81.0,62.09,76.81
816.0,900.0,779.0,440.0,1036.0,925.0,571.0,442.0,1149.0,632.0,881.0,68.1,73.37,88.45
702.0,821.0,731.0,441.0,925.0,790.0,500.0,420.0,999.0,620.0,845.0,54.4,70.0,76.0
789.0,819.0,712.0,418.0,955.0,800.0,519.0,405.0,993.0,646.0,811.0,55.4,68.0,84.0
804.0,933.0,796.0,430.0,1154.0,895.0,644.0,392.0,1157.0,646.0,907.0,79.1,69.96,86.68
738.0,896.0,744.0,427.0,961.0,777.0,536.0,423.0,992.0,595.0,874.0,58.3,58.0,78.0
1144.0,1208.0,1049.0,480.0,1197.0,810.0,695.0,432.0,1036.0,603.0,1085.0,106.3,63.56,83.25
864.0,991.0,797.0,415.0,985.0,765.0,573.0,418.0,968.0,578.0,943.0,60.5,60.0,65.0
665.0,870.0,720.0,415.0,910.0,731.0,528.0,401.0,951.0,561.0,866.0,49.5,61.0,75.0
845.0,965.0,760.0,406.0,1065.0,749.0,605.0,422.0,969.0,609.0,860.0,63.1,63.0,75.0
764.0,926.0,780.0,385.0,954.0,798.0,533.0,414.0,1055.0,602.0,904.0,59.2,57.11,71.72
702.0,790.0,685.0,425.0,891.0,816.0,471.0,389.0,993.0,614.0,793.0,49.7,67.0,74.0
683.0,824.0,708.0,424.0,900.0,721.0,509.0,374.0,920.0,568.0,790.0,47.5,61.0,67.0
668.0,919.0,747.0,407.0,1015.0,787.0,580.0,419.0,1027.0,581.0,880.0,61.0,74.46,85.86
884.0,1044.0,842.0,465.0,1120.0,803.0,645.0,431.0,1080.0,620.0,975.0,84.6,73.87,78.07
743.0,868.0,743.0,350.0,1060.0,823.0,623.0,421.0,1058.0,585.0,866.0,63.1,62.41,79.22
809.0,888.0,744.0,424.0,977.0,762.0,540.0,397.0,912.0,574.0,793.0,54.2,68.0,76.0
873.0,892.0,726.0,425.0,1049.0,757.0,604.0,398.0,929.0,587.0,825.0,62.1,58.0,63.0
820.0,958.0,810.0,457.0,1087.0,757.0,590.0,401.0,1026.0,569.0,932.0,68.0,72.95,90.06
928.0,1100.0,845.0,494.0,1050.0,731.0,591.0,409.0,1013.0,579.0,962.0,76.9,68.47,78.43
682.0,895.0,732.0,428.0,972.0,780.0,575.0,415.0,1019.0,569.0,841.0,56.2,59.72,80.87
696.0,914.0,739.0,434.0,958.0,751.0,569.0,390.0,973.0,576.0,836.0,56.5,70.0,69.0
