Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
57.0,172.0,110.0,42.0,Rectangle,0.0,0.0,1.0,0.0,109.7
30.0,170.0,63.0,40.0,Hourglass,1.0,0.0,0.0,0.0,63.5
34.0,164.0,57.0,39.0,Hourglass,1.0,0.0,0.0,0.0,58.6
41.5,167.0,50.0,37.0,Hourglass,1.0,0.0,0.0,0.0,50.3
25.0,170.0,67.0,40.0,Rectangle,0.0,0.0,1.0,0.0,70.6
19.5,174.0,53.0,38.0,Hourglass,1.0,0.0,0.0,0.0,54.2
24.4,163.0,58.0,37.5,Rectangle,0.0,0.0,1.0,0.0,57.7
24.0,155.0,46.0,36.0,Rectangle,0.0,0.0,1.0,0.0,46.5
55.0,171.0,68.0,39.0,Hourglass,1.0,0.0,0.0,0.0,71.2
19.5,168.0,50.0,37.5,Triangle,0.0,0.0,0.0,1.0,49.4
34.0,164.0,95.0,39.0,Rectangle,0.0,0.0,1.0,0.0,92.5
26.5,165.0,58.0,38.0,Rectangle,0.0,0.0,1.0,0.0,57.8
49.0,160.0,100.0,39.0,Rectangle,0.0,0.0,1.0,0.0,102.0
53.5,160.0,61.0,37.0,Rectangle,0.0,0.0,1.0,0.0,61.2
45.0,168.0,60.0,38.0,Rectangle,0.0,0.0,1.0,0.0,60.9
30.0,183.0,73.0,41.0,Rectangle,0.0,0.0,1.0,0.0,73.6
46.2,170.0,73.0,40.0,Rectangle,0.0,0.0,1.0,0.0,75.4
20.5,160.0,52.0,39.0,Rectangle,0.0,0.0,1.0,0.0,50.1
41.0,161.0,60.0,38.0,Rectangle,0.0,0.0,1.0,0.0,58.5
45.0,162.0,69.0,41.0,Rectangle,0.0,0.0,1.0,0.0,71.8
40.0,176.0,75.0,41.0,Hourglass,1.0,0.0,0.0,0.0,72.0
26.5,155.0,50.0,37.0,Rectangle,0.0,0.0,1.0,0.0,49.5
36.0,169.0,65.0,40.0,Rectangle,0.0,0.0,1.0,0.0,67.0
45.3,170.0,62.0,41.0,Rectangle,0.0,0.0,1.0,0.0,66.3
