Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
29.0,170.0,66.0,39.0,Hourglass,1.0,0.0,0.0,0.0,67.6
60.1,160.0,72.0,37.0,Hourglass,1.0,0.0,0.0,0.0,75.6
62.0,158.0,72.0,39.0,Rectangle,0.0,0.0,1.0,0.0,73.5
45.0,180.0,67.0,40.0,Rectangle,0.0,0.0,1.0,0.0,68.8
55.0,161.0,77.0,38.0,Rectangle,0.0,0.0,1.0,0.0,78.8
29.0,160.0,67.0,37.0,Rectangle,0.0,0.0,1.0,0.0,67.0
19.0,170.0,60.0,37.5,Hourglass,1.0,0.0,0.0,0.0,62.0
53.0,166.0,60.0,38.0,Rectangle,0.0,0.0,1.0,0.0,61.2
64.0,153.0,86.0,36.0,Inverted Triangle,0.0,1.0,0.0,0.0,88.0
40.0,173.0,70.0,39.0,Rectangle,0.0,0.0,1.0,0.0,72.1
45.0,162.0,56.0,37.0,Rectangle,0.0,0.0,1.0,0.0,58.2
61.0,173.0,101.0,39.0,Inverted Triangle,0.0,1.0,0.0,0.0,101.6
32.0,180.0,88.0,40.0,Hourglass,1.0,0.0,0.0,0.0,94.0
56.5,175.0,101.0,40.0,Rectangle,0.0,0.0,1.0,0.0,97.8
49.0,160.0,58.0,38.0,Rectangle,0.0,0.0,1.0,0.0,58.7
18.0,184.0,61.0,40.0,Rectangle,0.0,0.0,1.0,0.0,61.0
36.0,179.0,69.0,41.0,Hourglass,1.0,0.0,0.0,0.0,69.9
22.5,170.0,63.0,39.0,Triangle,0.0,0.0,0.0,1.0,63.0
25.0,159.0,47.0,37.0,Triangle,0.0,0.0,0.0,1.0,47.2
21.3,165.0,55.0,38.5,Rectangle,0.0,0.0,1.0,0.0,57.7
25.2,168.0,56.0,38.0,Triangle,0.0,0.0,0.0,1.0,56.9
47.0,162.0,70.0,38.0,Hourglass,1.0,0.0,0.0,0.0,74.5
38.0,180.0,67.0,40.0,Hourglass,1.0,0.0,0.0,0.0,67.0
19.4,165.0,46.8,38.0,Rectangle,0.0,0.0,1.0,0.0,46.4
21.0,171.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.0
22.7,153.0,43.0,36.0,Rectangle,0.0,0.0,1.0,0.0,52.4
56.6,157.0,68.0,36.5,Rectangle,0.0,0.0,1.0,0.0,69.5
51.0,165.0,86.0,39.0,Rectangle,0.0,0.0,1.0,0.0,88.8
46.0,158.0,78.0,38.0,Rectangle,0.0,0.0,1.0,0.0,78.0
24.4,154.0,49.0,36.0,Hourglass,1.0,0.0,0.0,0.0,50.6
33.4,160.0,49.0,36.0,Hourglass,1.0,0.0,0.0,0.0,48.0
24.3,164.0,81.0,41.0,Rectangle,0.0,0.0,1.0,0.0,82.4
36.8,163.0,50.0,36.0,Rectangle,0.0,0.0,1.0,0.0,50.7
24.5,158.0,47.0,36.0,Rectangle,0.0,0.0,1.0,0.0,46.4
26.0,176.0,65.0,37.0,Hourglass,1.0,0.0,0.0,0.0,63.5
24.2,162.0,48.0,38.0,Rectangle,0.0,0.0,1.0,0.0,49.9
35.1,163.0,43.0,37.0,Hourglass,1.0,0.0,0.0,0.0,43.5
46.0,168.0,64.0,39.0,Hourglass,1.0,0.0,0.0,0.0,71.3
26.4,163.0,55.0,37.0,Hourglass,1.0,0.0,0.0,0.0,54.7
24.5,153.0,50.0,36.0,Hourglass,1.0,0.0,0.0,0.0,51.5
26.6,150.0,46.0,36.0,Hourglass,1.0,0.0,0.0,0.0,46.4
19.4,166.0,53.0,37.0,Rectangle,0.0,0.0,1.0,0.0,53.2
20.6,158.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,66.8
48.0,171.0,100.0,42.0,Inverted Triangle,0.0,1.0,0.0,0.0,108.0
20.4,162.0,46.0,36.0,Rectangle,0.0,0.0,1.0,0.0,48.7
36.1,166.0,57.0,35.5,Hourglass,1.0,0.0,0.0,0.0,57.9
41.0,167.0,84.0,39.0,Rectangle,0.0,0.0,1.0,0.0,82.9
27.0,183.0,85.5,43.0,Hourglass,1.0,0.0,0.0,0.0,87.8
54.3,152.0,59.0,36.0,Rectangle,0.0,0.0,1.0,0.0,62.0
31.0,169.0,63.5,40.0,Hourglass,1.0,0.0,0.0,0.0,64.1
22.9,165.0,60.0,37.5,Hourglass,1.0,0.0,0.0,0.0,64.3
19.0,163.0,54.0,37.0,Rectangle,0.0,0.0,1.0,0.0,56.6
54.0,170.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,52.6
52.0,173.0,80.0,40.0,Rectangle,0.0,0.0,1.0,0.0,83.1
58.0,158.0,54.0,38.0,Rectangle,0.0,0.0,1.0,0.0,54.3
22.5,157.0,65.0,37.0,Rectangle,0.0,0.0,1.0,0.0,65.7
20.3,167.0,56.0,39.0,Rectangle,0.0,0.0,1.0,0.0,58.6
20.0,176.0,57.0,34.0,Rectangle,0.0,0.0,1.0,0.0,56.5
45.0,159.0,48.0,36.0,Hourglass,1.0,0.0,0.0,0.0,49.3
35.9,165.0,57.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.5
28.0,160.0,68.0,37.0,Hourglass,1.0,0.0,0.0,0.0,70.6
58.8,150.0,54.0,35.5,Rectangle,0.0,0.0,1.0,0.0,52.9
22.0,159.0,54.0,36.0,Rectangle,0.0,0.0,1.0,0.0,53.4
51.0,172.0,85.0,38.0,Triangle,0.0,0.0,0.0,1.0,87.4
52.0,164.0,58.0,38.0,Rectangle,0.0,0.0,1.0,0.0,60.8
