"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
705.0,839.0,710.0,414.0,964.0,727.0,574.0,387.0,923.0,571.0,818.0,62.0,73.0
778.0,834.0,722.0,434.0,979.0,777.0,560.0,405.0,985.0,581.0,839.0,66.0,69.0
770.0,910.0,742.0,410.0,935.0,716.0,550.0,427.0,933.0,575.0,863.0,55.0,65.0
685.0,865.0,726.0,440.0,930.0,778.0,540.0,402.0,1025.0,610.0,865.0,65.0,78.0
609.0,805.0,702.0,420.0,865.0,743.0,472.0,379.0,979.0,523.0,801.0,61.82,76.54
708.0,795.0,702.0,415.0,868.0,735.0,480.0,370.0,930.0,585.0,779.0,62.0,71.0
748.0,920.0,784.0,413.0,977.0,795.0,548.0,421.0,1033.0,568.0,887.0,66.78,85.32
725.0,912.0,766.0,414.0,966.0,873.0,544.0,401.0,1124.0,607.0,890.0,64.44,77.11
724.0,904.0,793.0,444.0,1000.0,799.0,565.0,406.0,1053.0,603.0,844.0,69.63,88.96
1246.0,1365.0,1159.0,552.0,1462.0,766.0,771.0,521.0,1103.0,590.0,1224.0,71.35,81.13
885.0,1088.0,883.0,477.0,1165.0,758.0,712.0,492.0,1006.0,561.0,977.0,59.65,76.72
724.0,920.0,716.0,417.0,1021.0,737.0,601.0,409.0,1014.0,556.0,845.0,70.2,71.59
810.0,982.0,825.0,445.0,1000.0,836.0,532.0,434.0,1139.0,612.0,937.0,69.98,80.19
891.0,1068.0,893.0,422.0,1190.0,715.0,677.0,461.0,953.0,552.0,995.0,63.47,63.58
687.0,824.0,717.0,427.0,895.0,789.0,491.0,378.0,1013.0,584.0,806.0,69.13,75.83
681.0,859.0,709.0,424.0,909.0,694.0,524.0,400.0,924.0,552.0,825.0,56.0,71.0
824.0,848.0,739.0,416.0,990.0,778.0,554.0,409.0,941.0,593.0,822.0,62.0,74.0
788.0,977.0,856.0,435.0,1087.0,792.0,623.0,428.0,1037.0,620.0,939.0,60.95,74.85
860.0,1056.0,925.0,455.0,1196.0,763.0,699.0,435.0,1030.0,571.0,1000.0,60.66,87.25
937.0,1102.0,905.0,439.0,1126.0,722.0,650.0,471.0,989.0,569.0,1019.0,64.96,67.86
1091.0,1170.0,982.0,518.0,1075.0,767.0,588.0,441.0,971.0,585.0,1037.0,68.28,74.42
