"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
799.0,900.0,460.0,977.0,798.0,579.0,445.0,997.0,628.0,950.0,68.4,72.0,86.0
799.0,890.0,465.0,930.0,772.0,560.0,439.0,981.0,612.0,899.0,63.8,72.0,76.0
782.0,915.0,447.0,970.0,860.0,525.0,436.0,1147.0,638.0,916.0,68.8,76.99,94.79
954.0,923.0,528.0,1046.0,1008.0,554.0,503.0,1190.0,720.0,953.0,81.9,81.13,99.8
994.0,1083.0,481.0,1025.0,816.0,605.0,515.0,1046.0,657.0,1076.0,90.0,74.02,97.47
847.0,947.0,476.0,1033.0,794.0,611.0,468.0,1012.0,663.0,992.0,79.7,74.0,89.0
806.0,906.0,434.0,923.0,851.0,505.0,455.0,1059.0,619.0,934.0,66.5,74.78,87.56
820.0,936.0,458.0,985.0,820.0,550.0,473.0,1017.0,630.0,1001.0,70.9,72.0,84.0
811.0,1029.0,510.0,1010.0,827.0,590.0,502.0,1020.0,658.0,1064.0,81.2,76.0,90.0
738.0,886.0,443.0,898.0,748.0,534.0,420.0,946.0,585.0,908.0,58.6,66.0,84.0
807.0,961.0,490.0,955.0,815.0,546.0,443.0,1051.0,656.0,977.0,69.4,68.0,86.0
900.0,1054.0,488.0,993.0,887.0,557.0,427.0,1120.0,687.0,1011.0,82.4,74.68,92.61
756.0,880.0,452.0,919.0,816.0,523.0,445.0,1042.0,659.0,910.0,63.5,64.0,84.0
996.0,1179.0,512.0,1094.0,749.0,597.0,481.0,913.0,587.0,1127.0,101.3,62.23,93.12
931.0,1014.0,488.0,1063.0,855.0,602.0,496.0,1082.0,653.0,1045.0,89.3,59.17,87.72
942.0,1007.0,512.0,1075.0,867.0,612.0,492.0,1129.0,643.0,1028.0,89.5,90.16,112.36
901.0,971.0,475.0,1035.0,880.0,608.0,453.0,1139.0,675.0,1003.0,84.2,71.76,88.97
1064.0,1143.0,508.0,1127.0,828.0,653.0,497.0,1015.0,654.0,1130.0,101.0,71.69,98.35
950.0,1007.0,476.0,1024.0,885.0,558.0,449.0,1105.0,651.0,1018.0,83.9,69.13,86.15
789.0,889.0,455.0,960.0,789.0,553.0,433.0,968.0,629.0,927.0,64.9,72.0,84.0
823.0,973.0,480.0,956.0,892.0,560.0,457.0,1072.0,666.0,1014.0,71.6,80.0,80.0
683.0,843.0,460.0,840.0,855.0,497.0,440.0,1088.0,617.0,853.0,57.0,66.52,84.11
910.0,1007.0,448.0,980.0,823.0,585.0,488.0,1001.0,650.0,1038.0,80.9,80.02,104.2
810.0,866.0,485.0,980.0,730.0,602.0,431.0,922.0,596.0,885.0,67.9,73.0,85.0
918.0,984.0,498.0,1040.0,972.0,549.0,462.0,1266.0,706.0,986.0,87.0,80.03,103.44
810.0,963.0,443.0,961.0,792.0,542.0,452.0,1046.0,568.0,970.0,68.4,64.08,85.42
805.0,859.0,464.0,955.0,812.0,588.0,444.0,1038.0,657.0,903.0,67.5,68.0,87.0
