Subject Number,Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
16654,26.0,169.0,65.0,38.0,Rectangle,0.0,0.0,1.0,0.0,64.6
4709,27.7,168.0,56.0,38.0,Triangle,0.0,0.0,0.0,1.0,57.2
16594,26.0,182.0,70.0,41.0,Hourglass,1.0,0.0,0.0,0.0,69.1
15770,59.0,165.0,65.0,37.0,Rectangle,0.0,0.0,1.0,0.0,65.0
15918,26.0,170.0,66.0,39.0,Rectangle,0.0,0.0,1.0,0.0,68.2
4131,41.1,175.0,65.0,39.0,Rectangle,0.0,0.0,1.0,0.0,69.8
15969,40.0,184.0,72.0,41.0,Rectangle,0.0,0.0,1.0,0.0,68.0
16848,26.0,184.0,118.0,39.0,Hourglass,1.0,0.0,0.0,0.0,123.5
16023,24.0,174.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,62.7
15978,53.0,178.0,78.0,41.0,Rectangle,0.0,0.0,1.0,0.0,81.9
4273,19.8,160.0,48.0,38.0,Triangle,0.0,0.0,0.0,1.0,48.6
4096,45.3,170.0,62.0,41.0,Rectangle,0.0,0.0,1.0,0.0,66.3
4635,56.6,168.0,57.0,38.5,Hourglass,1.0,0.0,0.0,0.0,55.9
15326,25.0,169.0,56.0,38.0,Hourglass,1.0,0.0,0.0,0.0,55.0
4751,58.3,160.0,58.0,37.5,Rectangle,0.0,0.0,1.0,0.0,57.3
