"Waist Circumference, Pref (mm)",Chest Girth (Chest Circumference at Scye) (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm)
609.0,801.0,420.0,865.0,743.0
919.0,1008.0,425.0,1192.0,703.0
795.0,976.0,432.0,1074.0,780.0
765.0,820.0,399.0,995.0,690.0
647.0,939.0,403.0,852.0,788.0
891.0,995.0,422.0,1190.0,715.0
965.0,1030.0,494.0,1019.0,800.0
722.0,896.0,398.0,1055.0,794.0
726.0,859.0,440.0,970.0,765.0
1144.0,1085.0,480.0,1197.0,810.0
803.0,897.0,433.0,997.0,747.0
693.0,831.0,436.0,932.0,722.0
705.0,805.0,415.0,884.0,683.0
940.0,1029.0,466.0,985.0,783.0
698.0,862.0,466.0,1100.0,812.0
786.0,896.0,456.0,1024.0,803.0
689.0,818.0,460.0,1004.0,841.0
709.0,855.0,435.0,974.0,822.0
1124.0,1036.0,515.0,1254.0,768.0
735.0,840.0,422.0,933.0,793.0
870.0,980.0,517.0,1075.0,785.0
665.0,813.0,402.0,934.0,708.0
884.0,982.0,402.0,1091.0,757.0
690.0,849.0,424.0,923.0,762.0
937.0,978.0,457.0,1069.0,766.0
795.0,952.0,417.0,1078.0,804.0
755.0,872.0,455.0,959.0,695.0
747.0,877.0,418.0,1039.0,744.0
731.0,870.0,415.0,925.0,704.0
1162.0,1181.0,508.0,1266.0,730.0
955.0,1058.0,435.0,1124.0,732.0
1097.0,1146.0,509.0,1275.0,756.0
776.0,904.0,422.0,1051.0,731.0
747.0,829.0,392.0,979.0,806.0
823.0,819.0,410.0,896.0,819.0
1246.0,1224.0,552.0,1462.0,766.0
710.0,843.0,408.0,1051.0,773.0
745.0,874.0,449.0,1088.0,806.0
1117.0,1142.0,503.0,1172.0,851.0
759.0,852.0,444.0,999.0,738.0
861.0,943.0,430.0,1059.0,829.0
665.0,861.0,397.0,969.0,779.0
707.0,879.0,430.0,882.0,740.0
832.0,903.0,404.0,1035.0,747.0
735.0,875.0,430.0,1049.0,847.0
905.0,1000.0,470.0,1081.0,678.0
897.0,985.0,473.0,1032.0,755.0
655.0,794.0,410.0,907.0,667.0
776.0,888.0,435.0,1009.0,821.0
917.0,950.0,429.0,1150.0,763.0
702.0,892.0,453.0,983.0,809.0
843.0,990.0,490.0,990.0,716.0
708.0,811.0,405.0,917.0,772.0
716.0,855.0,422.0,1003.0,828.0
880.0,880.0,417.0,1030.0,785.0
789.0,872.0,418.0,980.0,781.0
684.0,863.0,415.0,914.0,746.0
742.0,848.0,431.0,993.0,702.0
881.0,1032.0,495.0,1126.0,889.0
784.0,915.0,467.0,1034.0,849.0
667.0,776.0,392.0,921.0,737.0
722.0,924.0,435.0,958.0,864.0
727.0,872.0,379.0,965.0,796.0
687.0,806.0,427.0,895.0,789.0
887.0,921.0,455.0,1025.0,807.0
696.0,831.0,399.0,855.0,825.0
690.0,845.0,399.0,968.0,816.0
780.0,891.0,465.0,989.0,773.0
653.0,851.0,411.0,873.0,682.0
906.0,1076.0,451.0,1122.0,827.0
666.0,859.0,380.0,870.0,796.0
758.0,867.0,426.0,988.0,764.0
677.0,785.0,417.0,936.0,747.0
708.0,859.0,470.0,995.0,757.0
754.0,859.0,399.0,959.0,803.0
1134.0,1106.0,476.0,1198.0,717.0
665.0,810.0,390.0,907.0,689.0
861.0,906.0,451.0,1043.0,817.0
682.0,841.0,428.0,972.0,780.0
791.0,902.0,418.0,1045.0,820.0
728.0,827.0,439.0,954.0,786.0
687.0,863.0,402.0,965.0,811.0
911.0,862.0,413.0,969.0,868.0
750.0,890.0,442.0,942.0,847.0
775.0,806.0,433.0,908.0,753.0
803.0,934.0,393.0,1079.0,800.0
880.0,892.0,422.0,1044.0,694.0
882.0,921.0,425.0,1137.0,734.0
695.0,868.0,416.0,964.0,747.0
867.0,955.0,431.0,1050.0,759.0
901.0,951.0,430.0,1182.0,809.0
740.0,817.0,410.0,942.0,678.0
680.0,800.0,412.0,905.0,778.0
648.0,787.0,421.0,895.0,715.0
708.0,837.0,393.0,950.0,768.0
701.0,852.0,429.0,949.0,736.0
811.0,815.0,430.0,922.0,814.0
878.0,948.0,412.0,1138.0,834.0
884.0,991.0,422.0,1098.0,827.0
846.0,973.0,401.0,1007.0,752.0
748.0,820.0,438.0,925.0,757.0
766.0,850.0,413.0,1035.0,777.0
1015.0,1072.0,512.0,1292.0,803.0
709.0,859.0,420.0,1026.0,810.0
960.0,1038.0,466.0,1100.0,674.0
880.0,995.0,443.0,1061.0,788.0
808.0,957.0,427.0,935.0,712.0
762.0,875.0,390.0,982.0,772.0
772.0,848.0,428.0,985.0,793.0
777.0,820.0,435.0,950.0,787.0
910.0,957.0,452.0,1035.0,685.0
772.0,883.0,430.0,1001.0,724.0
1104.0,1138.0,491.0,1244.0,823.0
835.0,923.0,438.0,1053.0,791.0
725.0,880.0,454.0,1052.0,842.0
757.0,819.0,412.0,1040.0,746.0
813.0,921.0,432.0,1081.0,765.0
805.0,1000.0,455.0,965.0,807.0
809.0,920.0,435.0,1050.0,695.0
730.0,828.0,439.0,940.0,780.0
745.0,830.0,410.0,969.0,793.0
641.0,881.0,389.0,909.0,748.0
752.0,908.0,473.0,1048.0,838.0
683.0,829.0,413.0,925.0,730.0
822.0,948.0,504.0,996.0,836.0
740.0,876.0,446.0,960.0,739.0
734.0,808.0,397.0,955.0,744.0
833.0,930.0,420.0,1122.0,818.0
748.0,939.0,457.0,1035.0,871.0
775.0,934.0,475.0,968.0,804.0
764.0,924.0,431.0,1056.0,822.0
902.0,967.0,458.0,1107.0,785.0
778.0,843.0,425.0,970.0,752.0
787.0,961.0,420.0,1116.0,843.0
762.0,800.0,430.0,971.0,775.0
1032.0,1052.0,452.0,1210.0,682.0
886.0,1005.0,432.0,1105.0,781.0
720.0,843.0,466.0,936.0,762.0
856.0,929.0,434.0,1010.0,794.0
864.0,943.0,415.0,985.0,765.0
653.0,807.0,414.0,955.0,728.0
1123.0,1013.0,525.0,1245.0,654.0
723.0,896.0,420.0,1006.0,762.0
936.0,1005.0,484.0,1213.0,788.0
828.0,794.0,482.0,1015.0,758.0
672.0,825.0,383.0,883.0,679.0
725.0,808.0,391.0,930.0,685.0
731.0,802.0,402.0,907.0,825.0
901.0,857.0,416.0,1052.0,865.0
800.0,950.0,450.0,1030.0,700.0
825.0,924.0,466.0,1091.0,767.0
1093.0,1154.0,477.0,1111.0,699.0
808.0,918.0,439.0,1069.0,878.0
821.0,904.0,477.0,1049.0,851.0
896.0,994.0,450.0,1090.0,774.0
759.0,889.0,445.0,1007.0,825.0
643.0,805.0,440.0,998.0,717.0
774.0,832.0,420.0,972.0,793.0
683.0,862.0,407.0,930.0,769.0
833.0,934.0,446.0,1125.0,808.0
847.0,938.0,464.0,1044.0,800.0
944.0,1031.0,471.0,1088.0,806.0
833.0,874.0,475.0,1016.0,861.0
703.0,889.0,429.0,994.0,777.0
834.0,869.0,386.0,1063.0,737.0
756.0,865.0,389.0,916.0,814.0
812.0,895.0,424.0,1013.0,808.0
685.0,817.0,406.0,905.0,731.0
751.0,872.0,434.0,1106.0,846.0
733.0,834.0,392.0,935.0,820.0
907.0,1014.0,406.0,1020.0,809.0
778.0,911.0,414.0,916.0,710.0
