"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
2.0814208984375,0.469085693359375,0.24212341308594176,1.096691894531233,0.623687744140625,1.2362609863281264,0.6547302246093665,4.064453125,1.2580993652343864,3.369097900390628,0.13737658691406285,0.36055560302734335
1.6221862792968835,2.374114990234375,0.12972717285155966,0.8034423828124915,1.966278076171875,0.4920288085937514,3.890594482421875,2.9988891601562386,1.8990722656249943,4.3593688964843835,0.5760932922363287,0.519642639160157
0.70318603515625,3.1741394042968807,0.48981933593749716,0.06514282226564205,4.233099365234381,3.5958923339843736,0.0445709228515625,5.939099121093761,3.039508056640628,0.751708984375,0.7256328735351554,0.3157539978027337
3.9249938964843665,6.789868164062497,2.4428070068359276,3.865222167968753,1.7762451171875,5.040496826171875,3.2894866943359418,1.518798828125,0.6734069824218665,5.547045898437503,0.20228659057617193,0.5358139648437508
6.564605712890625,6.101489257812489,2.6861938476562557,0.1389770507812358,4.581561279296878,0.4317565917968835,1.551046752929686,4.1578613281250085,0.035559082031255684,5.495678710937497,1.0029743347167965,1.2803932800292959
0.9659484863281165,2.969921874999997,3.7700347900390554,0.3451782226562301,1.9683349609375114,0.4111389160156165,3.692526245117193,1.2932067871093835,0.3363037109375,3.8254028320312443,0.6733034057617191,0.623465209960937
7.983782958984349,7.866235351562494,1.8814666748046918,4.108801269531256,4.613476562499997,4.995068359374997,2.2253356933593693,9.358740234374991,0.31669921875000284,11.466687011718747,0.08270797729492063,0.7427391052246097
2.7754638671875114,9.386181640625011,0.0550079345703125,6.235571289062506,1.5724609374999972,3.837780761718747,1.24951171875,0.08490600585935226,0.09989624023437216,3.046618652343767,0.3210260925292969,1.3901871643066404
0.36891479492187784,6.992102050781227,3.578125,0.4543518066406449,2.207843017578128,0.8340881347656293,0.24126281738281108,2.8603759765624943,1.8834167480468835,3.598297119140625,0.8240852355957031,0.7565025329589847
0.5526550292968722,0.9872375488281193,1.7289550781250043,2.679260253906236,6.499652099609378,2.052075195312497,1.932635498046885,3.8926635742187727,5.159063720703131,2.7496398925781165,0.370548828125,0.6477048645019536
2.8544555664062443,1.094207763671875,1.1984619140624986,1.4463134765624943,5.532452392578136,2.0503601074218807,2.2643981933593764,3.8279052734374943,1.8850769042968807,3.3811889648437585,0.6860733032226562,0.28185806274414116
1.4254211425781165,0.04351806640625,0.3791900634765568,4.046099853515642,6.175506591796875,4.649426269531254,0.03872375488280966,6.441693115234372,2.0989807128906293,1.2306884765625057,1.0566837768554693,0.767829803466797
0.7409790039062472,4.541253662109369,0.38514404296875426,1.534912109375,3.914715576171872,1.3568847656249972,2.0632904052734347,6.654504394531244,1.1403930664062472,0.1732177734375,0.04867477416992205,0.12894744873046804
2.178149414062503,2.8730712890624943,2.46807861328125,3.8444580078125057,5.038110351562494,5.836206054687494,1.686260986328115,10.243078613281227,1.8891052246093665,6.132824707031233,0.002565551757813367,0.026116699218748707
3.3071960449218807,4.547119140625,0.15354614257812216,3.8844360351562415,2.5510498046874943,5.456280517578122,0.6152893066406264,2.738208007812503,1.9925964355468722,3.6115966796874943,0.4496833801269533,0.5057083129882809
1.4551269531250028,5.338110351562506,2.361114501953118,3.813977050781233,4.6643005371093835,5.641455078125006,0.004162597656254263,3.689422607421889,3.785656738281247,4.3946533203125,0.34956588745117223,0.3333168029785156
1.2853942871093835,2.5234619140625085,1.3599731445312528,0.37055664062499716,0.7250854492187528,2.79449462890625,0.36722106933593324,0.7991333007812358,0.20627441406250568,1.2134338378906193,0.017863464355468928,0.6619674682617198
1.0445983886718722,0.28662109375,0.5176208496093793,0.8827880859375057,0.6625183105468864,1.9166076660156222,0.915771484375,0.9871948242187614,2.2793640136718807,1.6480468749999915,0.10555642700195289,0.3839010620117218
0.556610107421875,5.160858154296875,0.6926483154296932,4.54071044921875,3.995465087890622,2.7578125,0.018725585937502842,0.10905761718750284,3.7946105957031193,4.998291015625,0.25454788208007795,0.41720809936523473
1.8753540039062528,0.06898193359376137,0.06121826171875,1.8977600097656335,1.8368347167968722,3.6364074707031264,1.5563568115234432,1.968255615234355,0.6066162109375028,3.287615966796878,0.08845825195312518,0.36438598632812536
0.4626831054687557,2.3512207031250085,1.4808105468749986,7.218579101562497,2.928619384765625,0.4060729980468807,0.5362213134765597,0.9671264648437585,3.2119934082031136,2.2756408691406165,0.5471973266601573,0.822493072509765
0.1292724609375,0.46625976562499716,1.1856048583984418,0.9256530761718835,3.16888427734375,2.0186401367187514,0.6293731689453139,1.9045166015625057,3.63543701171875,2.433856201171878,0.8124310302734372,0.10910433959961097
0.585205078125,3.0715270996093835,0.7631469726562514,5.365612792968761,0.9423583984375057,2.431781005859378,0.28847961425780966,0.3717285156249943,2.9611877441406236,3.9480957031249915,0.2725796508789058,2.1711257934570316
